FeatureID,Name,Class,BiogeochemicalClass,FIShScore,Fungi,GFE,Comment,log2FC,pval,pval.adj
Feature0365,δ-Valerolactam,Lipid,Cyclic amines,70.45,1246,83.1,Upregulated,0.123274642,4.54E-04,0.005434001
Feature0365,δ-Valerolactam,Lipid,Cyclic amines,71.45,1154,83.1,Upregulated,0.138568561,0.001963284,0.010889377
Feature0364,α-Eleostearic acid,Lipid,Carbohydrates,68.14,1246,101.4666667,Upregulated,0.155907789,0.008523788,0.027075128
Feature0364,α-Eleostearic acid,Lipid,Carbohydrates,69.14,1177,101.4666667,Upregulated,0.128809397,1.07E-04,0.004354784
Feature0363,Υ-Aminobutyric acid (GABA),Protein,Amino acids & derivatives,78.26,1246,74.55,Downregulated,-0.034252497,0.002693515,0.012604271
Feature0358,val-his,Lipid,Amino acids & derivatives,,1154,60.3,Upregulated,0.077048757,0.001998872,0.010889377
Feature0357,val-arg,Lipid,Amino acids & derivatives,86.21,1246,65.48181818,Upregulated,0.063378019,0.009581794,0.028204473
Feature0354,Trigonelline,Phenol,Phenols,,1154,60.3,Downregulated,-0.341479535,0.009406355,0.026913727
Feature0353,Tolycaine,Phenol,Benzoic acids,50,1246,79.3,Upregulated,0.102565076,0.010319066,0.029452894
Feature0352,Tn Antigen,Carbohydrate,Amino acids & derivatives,55.1,1246,55.11818182,Upregulated,0.034623367,0.006063557,0.02156883
Feature0352,Tn Antigen,Carbohydrate,Amino acids & derivatives,56.1,1154,55.11818182,Upregulated,0.159002025,5.42E-05,0.001411783
Feature0351,Tiglic acid,Protein,Carboxylic acids,,1154,83.1,Upregulated,0.294868159,2.07E-04,0.002356759
Feature0351,Tiglic acid,Protein,Carboxylic acids,,1177,83.1,Upregulated,0.303563506,0.00512827,0.03899622
Feature0350,Thymine,Phenol,Amino acids & derivatives,40,1246,37.5,Downregulated,-0.13650778,2.85E-04,0.005100954
Feature0349,Tetrolic Acid,Phenol,Carboxylic acids,,1154,60.3,Downregulated,-0.195015985,0.002313759,0.011729474
Feature0349,Tetrolic Acid,Phenol,Carboxylic acids,,1177,60.3,Downregulated,-0.198442018,0.00387522,0.03289431
Feature0348,tert-Butyl N-[1-(aminocarbonyl)-3-methylbutyl]carbamate,Lipid,Nitrated lipids,89.47,1246,86.20909091,Upregulated,0.114666504,0.019289476,0.045132427
Feature0347,Stavudine,Phenol,Cyclic amines,63.64,1246,54.6,Upregulated,0.407529647,4.62E-04,0.005434001
Feature0346,Sorbic acid,Phenol,Carboxylic acids,78.08,1246,79.3,Upregulated,0.266646997,7.81E-04,0.00695024
Feature0346,Sorbic acid,Phenol,Carboxylic acids,79.08,1177,79.3,Upregulated,0.458349363,0.00155345,0.018290617
Feature0345,Pyrone,Condensed HC,Phenols,,1154,60.3,Downregulated,-0.206370095,0.006548438,0.021152035
Feature0344,pyroglutamine,Protein,Aromatic amines,,1154,48.9,Downregulated,-0.091070181,0.002576878,0.012540808
Feature0343,Pyrogallol,Phenol,Phenols,,1154,60.3,Downregulated,-0.291824663,0.001312236,0.007921788
Feature0342,Pyridoxine,Phenol,Phenols,38.71,1246,67.425,Upregulated,0.125297442,0.00582856,0.02156883
Feature0341,Pyridoxamine,Lipid,Aromatic amines,,1154,67.425,Upregulated,0.053115786,0.00632276,0.020605425
Feature0340,propionyl adenylate,Phenol,Amino acids & derivatives,,1154,42.76153846,Downregulated,-0.196931082,0.002455962,0.012279808
Feature0338,Proline,Protein,Amino acids & derivatives,66.67,1246,71.7,Downregulated,-0.096871559,4.37E-04,0.005434001
Feature0338,Proline,Protein,Amino acids & derivatives,66.67,1154,71.7,Downregulated,-0.098600651,0.00912982,0.026659074
Feature0337,pro-his,Phenol,Amino acids & derivatives,80.65,1246,55.11818182,Upregulated,0.243575344,0.010328686,0.029452894
Feature0337,pro-his,Phenol,Amino acids & derivatives,81.65,1154,55.11818182,Upregulated,0.327812714,4.23E-05,0.001285847
Feature0335,Pipecolic acid,Protein,Carboxylic acids,50,1246,79.3,Downregulated,-0.311365747,8.94E-04,0.007140369
Feature0335,Pipecolic acid,Protein,Carboxylic acids,51,1154,79.3,Downregulated,-0.081283671,0.01552025,0.037765943
Feature0334,Pipecolic acid,Protein,Carboxylic acids,52,1246,79.3,Upregulated,0.107966034,0.006979055,0.023807055
Feature0334,Pipecolic acid,Protein,Carboxylic acids,53,1154,79.3,Upregulated,0.2935168,8.01E-05,0.001718957
Feature0333,Pinolenic acid,Lipid,Lipids,,1154,101.4666667,Upregulated,0.094494039,0.01425467,0.035155097
Feature0332,Phloroglucinol,Phenol,Phenols,,1154,60.3,Downregulated,-0.175501021,0.00309216,0.013014119
Feature0332,Phloroglucinol,Phenol,Phenols,,1177,60.3,Downregulated,-0.226944624,6.23E-04,0.009653826
Feature0331,Phenacetin,Phenol,Phenols,41.84,1246,77.4,Downregulated,-0.09571104,9.08E-05,0.004527273
Feature0331,Phenacetin,Phenol,Phenols,42.84,1154,77.4,Upregulated,0.05394057,0.01201985,0.031562916
Feature0330,"pentane-1,2,3,4,5-pentol",Carbohydrate,Other,,1154,71.7,Upregulated,0.401937894,1.51E-05,6.89E-04
Feature0330,"pentane-1,2,3,4,5-pentol",Carbohydrate,Other,,1177,71.7,Upregulated,0.404354841,9.08E-04,0.01274024
Feature0329,Penicillic acid,Phenol,Carboxylic acids,71.01,1154,67.425,Upregulated,0.278119458,0.00481402,0.017069897
Feature0328,"Octahydro-1,6,7,8-indolizinetetrol",Protein,Cyclic amines,,1177,74.55,Upregulated,0.408637604,0.001541812,0.018290617
Feature0327,O-Ethylthreonine,Protein,Carboxylic acids,75.76,1246,79.3,Downregulated,-0.437432669,0.001062584,0.00746433
Feature0326,N~2~-Acetyl-L-ornithine,Protein,Carboxylic acids,100,1246,68.44285714,Downregulated,-0.377850883,6.70E-04,0.006305688
Feature0326,N~2~-Acetyl-L-ornithine,Protein,Carboxylic acids,101,1154,68.44285714,Downregulated,-0.264896128,0.016861135,0.040224275
Feature0323,NP-019811,Phenol,Cyclic amines,,1154,60.3,Downregulated,-0.27076246,0.012400973,0.031866865
Feature0322,NP-019445,Phenol,Amino acids & derivatives,76.32,1246,66,Downregulated,-0.086195382,0.001283055,0.007677298
Feature0321,NP-016455,Protein,Cyclic amines,73.68,1246,70.66363636,Downregulated,-0.543310801,0.002348003,0.011733969
Feature0321,NP-016455,Protein,Cyclic amines,74.68,1154,70.66363636,Downregulated,-0.436622296,1.24E-06,1.25E-04
Feature0320,NP-014287,Lipid,Carbohydrates,65.31,1246,101.4666667,Upregulated,0.232088038,0.00334171,0.014515903
Feature0320,NP-014287,Lipid,Carbohydrates,65.31,1154,101.4666667,Upregulated,0.09361917,0.005562213,0.019237557
Feature0319,NP-013538,Other,Phenols,,1154,60.3,Downregulated,-0.147520472,4.13E-04,0.00386496
Feature0319,NP-013538,Other,Phenols,,1177,60.3,Downregulated,-0.180025039,0.005793027,0.041459897
Feature0318,NP-011220,Lipid,Amino acids & derivatives,,1154,81.02727273,Upregulated,0.051571931,0.017916688,0.041920457
Feature0317,NP-007065,Phenol,Phenols,66.2,1246,74.55,Upregulated,0.429008046,0.00635848,0.02231582
Feature0316,NP-003553,Lipid,Lipids,47.62,1246,97.35,Downregulated,-0.079273004,0.001095547,0.00746433
Feature0315,Nonylbenzene,Lipid,Lipids,,1154,105.9,Upregulated,0.364612977,6.17E-04,0.004593364
Feature0314,Nicotinic acid,Phenol,Benzoic acids,,1246,50.8,Downregulated,-0.031896001,0.002526723,0.012296721
Feature0313,Nicotinamide,Phenol,Cyclic amines,,1154,50.8,Downregulated,-0.33775437,0.004766617,0.017069897
Feature0312,Ne-Acetyllysine,Protein,Other,,1246,74.55,Upregulated,0.089880921,0.001581454,0.0090163
Feature0310,"N3,N4-Dimethyl-L-arginine",Lipid,Nitrated lipids,,1246,67.425,Downregulated,-0.119302365,0.001448395,0.008526841
Feature0305,N-Acetylvaline,Protein,Amino acids & derivatives,,1246,76.58571429,Downregulated,-0.085127771,0.009760359,0.028500248
Feature0304,N-Acetyl-L-histidine,Phenol,Amino acids & derivatives,,1154,46.05,Upregulated,0.082775233,0.021328373,0.048961359
Feature0303,N-Acetyl-D-galactosamine,Carbohydrate,Amino acids & derivatives,,1154,60.3,Upregulated,0.190040571,0.00276262,0.012604455
Feature0302,"N-Acetyl-3,4,5,6-tetrahydroxynorleucine",Carbohydrate,Amino acids & derivatives,,1177,53.175,Downregulated,-0.072446423,0.004185324,0.034719163
Feature0299,N-(3-Carboxypropanoyl)-5-hydroxynorvaline,Amino Sugar,Amino acids & derivatives,,1154,60.3,Downregulated,-0.157474321,0.004296319,0.016334961
Feature0299,N-(3-Carboxypropanoyl)-5-hydroxynorvaline,Amino Sugar,Amino acids & derivatives,,1177,60.3,Downregulated,-0.205801129,0.002096796,0.02125918
Feature0298,"N,N-dimethyl-N'-(3-phenyl[1,2,4]triazolo[4,3-b]pyridazin-6-yl)iminoformamide",Unsaturated HC,Cyclic amines,,1246,52.15714286,Upregulated,0.371594116,0.003428247,0.014515903
Feature0298,"N,N-dimethyl-N'-(3-phenyl[1,2,4]triazolo[4,3-b]pyridazin-6-yl)iminoformamide",Unsaturated HC,Cyclic amines,,1154,52.15714286,Upregulated,0.5095323,1.23E-04,0.001971759
Feature0298,"N,N-dimethyl-N'-(3-phenyl[1,2,4]triazolo[4,3-b]pyridazin-6-yl)iminoformamide",Unsaturated HC,Cyclic amines,,1177,52.15714286,Upregulated,0.575756043,0.001177709,0.01482289
Feature0297,"N,N'-1,4-Butanediyldiacetamide",Lipid,Nitrated lipids,,1154,81.675,Downregulated,-0.210274053,0.001205657,0.007858298
Feature0296,muramic acid,Carbohydrate,Nitrated lipids,70.59,1246,60.3,Downregulated,-0.188166046,0.020570518,0.04722163
Feature0296,muramic acid,Carbohydrate,Nitrated lipids,70.59,1154,60.3,Downregulated,-0.148293388,0.017423628,0.041296261
Feature0295,MFCD09839908,Phenol,Aromatic amines,25,1246,70.66363636,Downregulated,-0.166431025,0.011948359,0.033039022
Feature0294,MFCD00634809,Phenol,Cyclic amines,31.25,1246,74.55,Downregulated,-0.130674135,0.02057028,0.04722163
Feature0291,MFCD00025556,Amino Sugar,Nitrated lipids,100,1246,53.175,Upregulated,0.10727453,0.014340516,0.036629496
Feature0289,Mevalonolactone,Protein,Phenols,85.45,1246,79.3,Upregulated,0.269207335,2.02E-04,0.005044472
Feature0289,Mevalonolactone,Protein,Phenols,85.45,1177,79.3,Upregulated,0.407796109,0.004698453,0.037281202
Feature0288,Methylhippuric acid,Phenol,Aromatic amines,66.13,1246,66,Downregulated,-0.199159975,0.002014076,0.010654171
Feature0287,Methyl piperonyl ketone,Phenol,Other,63.64,1246,71.7,Upregulated,0.457193383,0.001047361,0.00746433
Feature0285,methyl N-acetylneuraminate,Carbohydrate,Benzoic acids,56.47,1246,60.3,Downregulated,-0.160171728,3.66E-04,0.005434001
