FeatureID,Name,Class,BiogeochemicalClass,FIShScore,1246,1154,1177
Feature0026,(+)-Piperitol,Phenol,Carbohydrates,,0.446191099,0,0
Feature0029,"(2S)-3-Hydroxy-2-({[(3S,4S,5R)-2,3,4-trihydroxy-5-(hydroxymethyl)tetrahydro-2-furanyl]methyl}amino)butanoic acid (non-preferred name)",Carbohydrate,Nitrated lipids,,-0.055127705,0,0
Feature0030,"(2S)-3-Phenyl-2-({[(3S,4S,5R)-2,3,4-trihydroxy-5-(hydroxymethyl)tetrahydro-2-furanyl]methyl}amino)propanoic acid (non-preferred name)",Phenol,Nitrated lipids,,-0.119208894,0,0
Feature0031,"(2Z,4Z)-6-Amino-2,4-diimino-5-nitro-1,3(2H,4H)-pyrimidinediol",Carbohydrate,Aromatic amines,,0,-0.310101034,0
Feature0032,"(6R)-5-Acetamido-3,5-dideoxy-6-[(1R,2R)-1,2-dihydroxy-3-(lactoyloxy)propyl]-alpha-L-threo-hex-2-ulopyranosonic acid",Carbohydrate,Amino acids & derivatives,,-0.320813885,0,-0.3496371
Feature0036,"1,2-Dideoxy-5-O-(methylsulfonyl)pentitol",Carbohydrate,Other,,0.13277139,0,0
Feature0037,"1,4-Anhydro-1-(2,4-dioxo-1,2,3,4-tetrahydro-5-pyrimidinyl)-5-O-phosphonopentitol",Other,Other,,-0.154921457,-0.384434345,0
Feature0038,"1-(2-Furyl)-1,2-ethanediol",Phenol,Other,,0.069774885,0.398296843,0.35682995
Feature0039,"1-(3,4-Dimethoxyphenyl)-4-(4-hydroxy-3-methoxyphenyl)dihydro-1H,3H-furo[3,4-c]furan-3a(4H)-ol",Phenol,Cyclic amines,,0.408077323,0,0
Feature0040,"1-(3,4-dimethoxyphenyl)ethan-1-one oxime",Phenol,Cyclic amines,,-0.123506958,0,0
Feature0041,1-(Dimethylamino)-2-propanyl acetate,Lipid,Amino acids & derivatives,,0.506227996,0,0
Feature0042,1-[(3-Carboxypropyl)amino]-1-deoxy-beta-D-fructofuranose,Amino Sugar,Aromatic amines,,0.075085318,0,-0.2205274
Feature0044,1-Amino-1-deoxyhexitol,Carbohydrate,Amino acids & derivatives,,0.244623325,0,0
Feature0046,"1-Methyl-5-(1-piperidinyl)-2,4-imidazolidinedione",Lipid,Cyclic amines,,0.064487659,0,0
