FeatureID,Name,Formula,MW,# ChemSpider Results,# mzCloud Results,KEGG Pathways,Area: 60_CTRL_1246.1,Area: 59_CTRL_1154.1,Area: 57_CTRL_1246.3,Area: 47_CTRL_1177.1,Area: 46_CTRL_1154.2,Area: 41_CTRL_CTRL.1,Area: 40_CTRL_CTRL.3,Area: 19_CTRL_1246.2,Area: 14_CTRL_1177.3,Area: 10_CTRL_1154.3,Area: 2_CTRL_CTRL.2,Gap Status: 60_CTRL_1246.1,Gap Status: 59_CTRL_1154.1,Gap Status: 57_CTRL_1246.3,Gap Status: 47_CTRL_1177.1,Gap Status: 46_CTRL_1154.2,Gap Status: 41_CTRL_CTRL.1,Gap Status: 40_CTRL_CTRL.3,Gap Status: 38_BOCU_1177.2,Gap Status: 14_CTRL_1177.3,Gap Status: 10_CTRL_1154.3,Gap Status: 2_CTRL_CTRL.2,name4plot,C,H,N,O,Cl,S,P,H_to_C,O_to_C,NOSC,GFE,DBE,DBE_O,AI,AI_mod,DBE_AI,Class
Feature0365,δ-Valerolactam,C5 H9 N O,99.06838,38,62,Biosynthesis of secondary metabolites;Cyanoamino acid metabolism,6916390.35,5274848.335,7406621.837,3514870.247,2456749.41,1150305.196,1537818.004,9060670.468,6868937.192,3594321.743,1039567.529,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,δ-Valerolactam,5,9,1,1,0,0,0,1.8,0.2,-0.7999999999999998,83.1,2,1,0,0.14285714285714285,0,Lipid
Feature0364,α-Eleostearic acid,C18 H30 O2,278.22457000000003,58,23,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of plant secondary metabolites;Other,19016304.46,4870413.181,13655278.88,9999916.744,6740116.493,4642205.26,5055103.077,32023319.14,9126471.867,5183422.105,4010956.861,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,α-Eleostearic acid,18,30,0,2,0,0,0,1.6666666666666667,0.1111111111111111,-1.4444444444444446,101.46666666666667,4,2,0.125,0.17647058823529413,2,Lipid
Feature0363,Υ-Aminobutyric acid (GABA),C4 H9 N O2,103.06331,38,65,Metabolic pathways;Microbial metabolism in diverse environments;Other,78244452.83,106842169.1,119490082.3,113570484.2,37092236.09,261595381.1,232952094.5,163191454.8,171429212.2,115261485.8,245868068.5,Full gap,Missing ions,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,No gap,Full gap,Full gap,Υ-Aminobutyric acid (GABA),4,9,1,2,0,0,0,2.25,0.5,-0.5,74.55,1,-1,-2,-0.5,-2,Protein
Feature0362,Valylproline,C10 H18 N2 O3,214.13173,10,45,Metabolic pathways;Biosynthesis of cofactors;Other,16329899.62,78868328.13,85643323.29,180225790.8,51638573.97,73720235.55,56383271.94,116270272.6,49139090.74,56446434.62,64474935.93,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Valylproline,10,18,2,3,0,0,0,1.8,0.3,-0.5999999999999996,77.39999999999999,3,0,-0.4,-0.07692307692307693,-2,Lipid
Feature0361,Valyllysine,C11 H23 N3 O3,245.17392,4,17,NA,5747996.443,5801083.911,14238346.28,6469815.853,2495414.866,5142478.541,4925905.325,21798659.02,8113763.098,5816016.742,4409974.995,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Valyllysine,11,23,3,3,0,0,0,2.090909090909091,0.2727272727272727,-0.7272727272727275,81.02727272727273,2,-1,-0.8,-0.38461538461538464,-4,Lipid
Feature0360,Valine,C5 H11 N O2,117.07893,43,147,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of cofactors;ABC transporters;Protein digestion and absorption;Aminoacyl-tRNA biosynthesis;Central carbon metabolism in cancer;D-Amino acid metabolism;Cyanoamino acid metabolism;Other,29781804.25,343718240.9,66762488.07,461560322.8,189619088.7,377312653.3,324168419.3,137245855.9,143956782.7,247587012,341386789.3,Full gap,Full gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,Valine,5,11,1,2,0,0,0,2.2,0.4,-0.7999999999999998,83.1,1,-1,-1,-0.3333333333333333,-2,Protein
Feature0359,Val-Leu,C11 H22 N2 O3,230.16304,12,50,NA,42725725.09,11948903.91,87450380.4,30596185.85,10683726.27,52462702.11,42304251.32,77368858.25,58686172.46,6949667.995,44500365.54,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,No gap,Full gap,No gap,Full gap,Val-Leu,11,22,2,3,0,0,0,2,0.2727272727272727,-0.9090909090909092,86.2090909090909,2,-1,-0.5,-0.2,-3,Lipid
Feature0358,val-his,C11 H18 N4 O3,254.13787,9,117,NA,4691077.348,10954936.18,9363606.829,7240048.04,7486390.172,11083193.46,11177411.68,11756746.7,10206946.78,7905339.997,11519892.82,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,val-his,11,18,4,3,0,0,0,1.6363636363636365,0.2727272727272727,0,60.3,5,2,-0.5,-0.09090909090909091,-2,Lipid
Feature0357,val-arg,C11 H23 N5 O3,273.18012,4,0,NA,10752172.73,5289687.756,17013222.13,4740723.863,2809840.902,13097718.75,12149463.33,33495061.28,21347981.65,9232767.157,13614885.04,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,val-arg,11,23,5,3,0,0,0,2.090909090909091,0.2727272727272727,-0.18181818181818166,65.48181818181817,3,0,-1.6666666666666667,-0.7777777777777778,-5,Lipid
Feature0356,Uracil,C4 H4 N2 O2,112.02722,16,19,Metabolic pathways;Other,15478592.42,29453596.77,20452733.08,59270841.77,19806657.51,79405547.47,62994170.28,33588368.81,26190418.84,24378652.72,8969787.096,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Uracil,4,4,2,2,0,0,0,1,0.5,1.5,17.549999999999997,4,2,NA,1,0,Lignin
