FeatureID,Name,BiogeochemicalClass,10_CTRL_1154.3,14_CTRL_1177.3,19_CTRL_1246.2,2_CTRL_CTRL.2,40_CTRL_CTRL.3,41_CTRL_CTRL.1,46_CTRL_1154.2,47_CTRL_1177.1,57_CTRL_1246.3,59_CTRL_1154.1,60_CTRL_1246.1
Feature0026,(+)-Piperitol,Carbohydrates,20.9926978916061,20.0094212499463,27.6241440056391,20.6101490244777,20.3766891966435,20.4913483057374,21.5334089666299,20.5118292481528,27.6604779353755,21.7636205777667,28.4756257641167
Feature0029,"(2S)-3-Hydroxy-2-({[(3S,4S,5R)-2,3,4-trihydroxy-5-(hydroxymethyl)tetrahydro-2-furanyl]methyl}amino)butanoic acid (non-preferred name)",Nitrated lipids,25.3906571648651,24.3755083888393,23.9522760485225,25.5380903178359,25.1752532010772,24.9957207395812,24.3738648054909,25.548998448542,24.3672643708009,25.901223612966,24.5511334657675
Feature0030,"(2S)-3-Phenyl-2-({[(3S,4S,5R)-2,3,4-trihydroxy-5-(hydroxymethyl)tetrahydro-2-furanyl]methyl}amino)propanoic acid (non-preferred name)",Nitrated lipids,24.1258208159748,23.9587189476745,23.3163030801663,25.6295075044658,25.5215815296091,25.5403908316856,23.8163567512652,25.4923043830703,23.7403458698425,24.6778181245415,23.5526119225066
Feature0031,"(2Z,4Z)-6-Amino-2,4-diimino-5-nitro-1,3(2H,4H)-pyrimidinediol",Aromatic amines,24.1245570151765,22.2706806371389,26.9249730078885,29.2983656304487,29.353113564857,29.3564810855032,23.9813655134473,23.4813859508365,29.8983969064648,22.8800019652102,30.0536961194007
Feature0032,"(6R)-5-Acetamido-3,5-dideoxy-6-[(1R,2R)-1,2-dihydroxy-3-(lactoyloxy)propyl]-alpha-L-threo-hex-2-ulopyranosonic acid",Amino acids & derivatives,24.0033236960669,20.0092573765534,20.4851893439899,26.3442260516093,25.3878458535149,26.2985624029325,24.029906599394,20.8154074212487,20.7547128219877,23.9418978574839,21.2328350671377
Feature0036,"1,2-Dideoxy-5-O-(methylsulfonyl)pentitol",Other,21.899876316014,20.4987473814968,24.2490219544476,22.5223174952349,21.4291005560129,22.5828099775016,22.7463561265175,21.5887027525438,23.775264638768,21.5079053080807,24.923697258074
Feature0037,"1,4-Anhydro-1-(2,4-dioxo-1,2,3,4-tetrahydro-5-pyrimidinyl)-5-O-phosphonopentitol",Other,21.7421826315395,23.7287054260027,23.0080837676056,26.3392105752145,25.9769539872119,26.0894016876409,18.9474119234963,22.8658668173924,23.3132346303677,19.375287198878,24.1010926756048
Feature0038,"1-(2-Furyl)-1,2-ethanediol",Other,26.8354687918064,25.9955516479724,21.1205287107295,20.6657931028783,20.284718191685,20.4484629528623,27.1613326820845,26.423163842989,21.8341464155003,26.924044157114,21.4867963994752
Feature0039,"1-(3,4-Dimethoxyphenyl)-4-(4-hydroxy-3-methoxyphenyl)dihydro-1H,3H-furo[3,4-c]furan-3a(4H)-ol",Cyclic amines,21.0213481999692,20.0326022592359,27.4848376501161,20.7601639331581,20.6480509576308,20.7386559394869,21.3760752473586,20.1824194045426,27.0582448579759,20.3472796944652,27.9206106529161
Feature0040,"1-(3,4-dimethoxyphenyl)ethan-1-one oxime",Cyclic amines,21.3743820316705,27.0793322068535,19.7583373886824,21.5366845243242,22.0265347587601,21.5810722325296,22.147158962714,33.2095172330425,19.798040843346,21.2810408393369,20.2430547803834
