FeatureID,H_to_C,O_to_C,Class,Fungi,GFE,Name,Comment,log2FC,pval,pval.adj
Feature0365,1.8,0.2,Lipid,1246,83.1,δ-Valerolactam,Upregulated,0.123274642,4.54E-04,0.005434001
Feature0364,1.666666667,0.111111111,Lipid,1246,101.4666667,α-Eleostearic acid,Upregulated,0.155907789,0.008523788,0.027075128
Feature0363,2.25,0.5,Protein,1246,74.55,Υ-Aminobutyric acid (GABA),Downregulated,-0.034252497,0.002693515,0.012604271
Feature0357,2.090909091,0.272727273,Lipid,1246,65.48181818,val-arg,Upregulated,0.063378019,0.009581794,0.028204473
Feature0353,1.466666667,0.2,Phenol,1246,79.3,Tolycaine,Upregulated,0.102565076,0.010319066,0.029452894
Feature0352,1.818181818,0.727272727,Carbohydrate,1246,55.11818182,Tn Antigen,Upregulated,0.034623367,0.006063557,0.02156883
Feature0350,1.2,0.4,Phenol,1246,37.5,Thymine,Downregulated,-0.13650778,2.85E-04,0.005100954
Feature0348,2,0.272727273,Lipid,1246,86.20909091,tert-Butyl N-[1-(aminocarbonyl)-3-methylbutyl]carbamate,Upregulated,0.114666504,0.019289476,0.045132427
Feature0347,1.2,0.4,Phenol,1246,54.6,Stavudine,Upregulated,0.407529647,4.62E-04,0.005434001
Feature0346,1.333333333,0.333333333,Phenol,1246,79.3,Sorbic acid,Upregulated,0.266646997,7.81E-04,0.00695024
Feature0342,1.375,0.375,Phenol,1246,67.425,Pyridoxine,Upregulated,0.125297442,0.00582856,0.02156883
Feature0338,1.8,0.4,Protein,1246,71.7,Proline,Downregulated,-0.096871559,4.37E-04,0.005434001
Feature0337,1.454545455,0.272727273,Phenol,1246,55.11818182,pro-his,Upregulated,0.243575344,0.010328686,0.029452894
Feature0335,1.833333333,0.333333333,Protein,1246,79.3,Pipecolic acid,Downregulated,-0.311365747,8.94E-04,0.007140369
Feature0334,1.833333333,0.333333333,Protein,1246,79.3,Pipecolic acid,Upregulated,0.107966034,0.006979055,0.023807055
Feature0331,1.3,0.2,Phenol,1246,77.4,Phenacetin,Downregulated,-0.09571104,9.08E-05,0.004527273
Feature0327,2.166666667,0.5,Protein,1246,79.3,O-Ethylthreonine,Downregulated,-0.437432669,0.001062584,0.00746433
Feature0326,2,0.428571429,Protein,1246,68.44285714,N~2~-Acetyl-L-ornithine,Downregulated,-0.377850883,6.70E-04,0.006305688
Feature0322,1,0.4,Phenol,1246,66,NP-019445,Downregulated,-0.086195382,0.001283055,0.007677298
Feature0321,1.636363636,0.363636364,Protein,1246,70.66363636,NP-016455,Downregulated,-0.543310801,0.002348003,0.011733969
Feature0320,1.777777778,0.166666667,Lipid,1246,101.4666667,NP-014287,Upregulated,0.232088038,0.00334171,0.014515903
Feature0317,1.25,0.375,Phenol,1246,74.55,NP-007065,Upregulated,0.429008046,0.00635848,0.02231582
Feature0316,1.7,0.2,Lipid,1246,97.35,NP-003553,Downregulated,-0.079273004,0.001095547,0.00746433
Feature0314,0.833333333,0.333333333,Phenol,1246,50.8,Nicotinic acid,Downregulated,-0.031896001,0.002526723,0.012296721
Feature0312,2,0.375,Protein,1246,74.55,Ne-Acetyllysine,Upregulated,0.089880921,0.001581454,0.0090163
Feature0310,2.25,0.25,Lipid,1246,67.425,"N3,N4-Dimethyl-L-arginine",Downregulated,-0.119302365,0.001448395,0.008526841
Feature0305,1.857142857,0.428571429,Protein,1246,76.58571429,N-Acetylvaline,Downregulated,-0.085127771,0.009760359,0.028500248
Feature0298,1,0,Unsaturated HC,1246,52.15714286,"N,N-dimethyl-N'-(3-phenyl[1,2,4]triazolo[4,3-b]pyridazin-6-yl)iminoformamide",Upregulated,0.371594116,0.003428247,0.014515903
