"","10_CTRL_1154.3","14_CTRL_1177.3","19_CTRL_1246.2","2_CTRL_CTRL.2","40_CTRL_CTRL.3","41_CTRL_CTRL.1","46_CTRL_1154.2","47_CTRL_1177.1","57_CTRL_1246.3","59_CTRL_1154.1","60_CTRL_1246.1"
"Feature0001",24.1809037093679,24.166699302342,23.8946425220969,23.614266960215,23.5227521239697,23.3861713155962,24.1456805651041,24.5741275237754,24.3152471193581,24.5465278776926,24.7953633044023
"Feature0002",24.1814808414097,23.8477878992793,22.9263623911436,23.0687497183868,22.8561554042675,23.0079803518562,24.0689602337845,23.5671122921563,24.3226926446777,25.0112903997914,24.4486563497481
"Feature0003",24.6778411205474,24.6404544560181,23.840563649714,23.8795847327373,23.7167183725621,23.7748229081655,24.5832520559316,24.2479602060482,24.3661130480335,24.5952754148763,24.3780039318584
"Feature0004",24.9212663387907,25.0087095846503,24.2944813120057,23.8783909446208,23.8386553977413,23.768882916948,25.1088185528879,24.5847809528781,24.9075253616373,25.1734926989351,25.0992943328055
"Feature0005",24.7789350596176,24.8103965670285,24.1390086610651,23.8883539171605,23.6960657630365,23.626019866162,24.8664558888668,24.479873176276,24.7258300317697,25.0929887157693,25.0071501610507
"Feature0006",24.4006860783508,24.5710586044812,24.348178919564,23.997681599723,23.9520615267702,23.7632902631353,24.497076474509,24.7113919790583,24.7051017215898,24.8532203526793,25.2160503198218
"Feature0007",21.6197005620012,23.9837149426407,21.0346326851041,21.4770160425127,21.5305223245098,21.9439461079521,21.0707356264211,27.2573938236609,20.1952568684828,21.0178458687827,20.1387074701816
"Feature0008",19.9878067574708,18.7617380859761,20.5072225780763,19.8639324936555,21.3137964845014,21.6483399609518,22.277454339742,21.0881164331442,25.5976186706072,27.3371972120947,26.2113483072243
"Feature0009",20.2078099817314,19.8927334888589,23.3990618230462,26.9488256325858,26.5516999533978,26.7300287769309,21.3559385552945,20.7733293978348,22.424607405814,20.8472584752893,21.7807465130692
"Feature0010",23.2538233715631,22.6633570808482,24.4648054479437,25.1318943966878,24.7402328599033,24.9595237402298,23.1266587138543,21.648023651865,23.8488117675782,22.8561514669659,24.0185770082829
