"","10_CTRL_1154.3","14_CTRL_1177.3","19_CTRL_1246.2","2_CTRL_CTRL.2","40_CTRL_CTRL.3","41_CTRL_CTRL.1","46_CTRL_1154.2","47_CTRL_1177.1","57_CTRL_1246.3","59_CTRL_1154.1","60_CTRL_1246.1"
"Feature0001",14630383.42,16147031.87,24832962.18,21670817.09,22677956.1,23605275.2,11997537.04,29754036.79,20231239.68,17868752.77,22135830.23
"Feature0002",11832067.13,11796580.24,12911209.58,13651109.52,13697068.92,17004887.22,9445968.991,12657370.06,21764541.16,21670451.57,18013456.94
"Feature0003",22105016.22,22964383.98,23858321.76,26526335.08,25997308.4,31258921.08,17145801.55,24666564.68,20765663.13,19352513.11,16630442.48
"Feature0004",29789507.65,30987235.85,32668224.62,26372676.09,27656492.73,30871608.79,27017016.28,32204931.65,30577805.68,31306499.22,28057833.22
"Feature0005",25853964.24,26556998.13,29309723.25,26788187.42,25330232.8,28174663.25,22190981.2,29871428.21,26689565.08,28919951.66,26068916.18
"Feature0006",19827891.02,22472693.93,33883027.95,28904692.58,30269252.91,30997613.7,17140792.44,35042044.06,26301397.84,24442950.57,30113154.02
"Feature0007",503275.0485,6705847.621,692011.7645,475668.8515,501194.8959,638086.0885,301540.3498,68150972.05,669202.6773,455083.842,454801.4826
"Feature0008",186150.834,182797.9245,630235.704,184678.9781,520149.2034,627366.8155,731091.6411,846681.2665,34397295.69,42032164.13,35357684.67
"Feature0009",344644.3772,563080.3472,9266329.886,51104495.87,42419137.04,45129080.75,528817.2852,768539.2015,4621404.334,737281.7253,2017383.692
"Feature0010",5998141.751,5079653.499,37645614.12,55919808.12,49923798.3,64660079.93,4734254.257,3236962.92,15799774.64,4755630.439,13433343.43
"Feature0011",299760.8127,166533.1402,2612307.5,37457991.78,37531400.72,40515228.72,264724.5067,212051.7058,1199501.785,169361.7252,432266.4759
"Feature0012",36528233.27,42283411.34,42970661.75,39313688.41,39407622.14,41287610.33,36798790.8,44209510.85,41042246.34,40266155.84,41236295.93
"Feature0013",49442595.5,53393383.58,53953085,48144748.11,49672032.53,53312421.26,47546811.85,55219237.6,50792307.55,50246336.43,48121665.41
"Feature0014",2382306.443,1471852.557,13008659.43,57649545.13,53234512.25,61903045.11,1577925.395,1642555.114,8075550.418,2455838.264,7684476.229
"Feature0015",65525661.56,64538981.83,68749228.39,204163.9447,65603503.96,66060025.9,61998054.45,61385872.35,902738.4797,206770.4943,531825.7972
"Feature0016",1671812.11,1055813.806,844227.851,278312.3501,65603503.96,66060025.9,61998054.45,61385872.35,64882924.77,72624068.79,70635328.88
"Feature0017",1268520.274,1792001.645,15084902.97,14435019.84,14139204.47,16203341.88,533138.5041,2049130.216,17818700.44,1587401.646,9943626.003
"Feature0018",205336.9909,210895.3522,15573186.92,204700.7613,202598.1598,198287.8454,198032.9478,201499.1538,9763403.064,141869.8927,8247247.764
"Feature0019",708068.7304,86412855.31,441180.9347,685094.6676,453467.6148,360947.7065,487032.1661,58219099.15,258340.959,664454.9449,516055.2605
"Feature0020",21940865.25,60534138.05,5971219.594,1673577.901,2349603.355,2630666.608,52556.24837,3800373.535,2471569.818,11525169.8,2153288.019
"Feature0021",14016820.91,5909968.406,13499418.14,97940348.94,91023278.01,95591849.35,14159624.91,7176842.929,9672237.608,19929206.12,8168127.777
"Feature0022",8116342.153,923094.9996,8804970.632,75501813.01,85993154.69,65832025.02,6060129.709,1177048.613,3420544.882,12948924.22,1355095.366
"Feature0023",109823080.6,101501238.1,93434921.55,84029084.86,79977291.36,85905370.82,99030446.85,90849095.42,89302475.7,105032619.9,83016186.21
"Feature0024",56305.11793,75725.17983,82887.5903,62132.93889,61351.81752,66447.79044,53682.27888,105143.6687,84980.43246,54420.20344,49941.75408
