Checked,Tags,Name,KEGG compound names,KEGG Ids,Formula,Annot. Source: Predicted Compositions,Annot. Source: mzCloud Search,Annot. Source: Metabolika Search,Annot. Source: ChemSpider Search,Annot. DeltaMass [ppm],Calc. MW,RT [min],Area (Max.),# ChemSpider Results,# mzCloud Results,mzCloud Best Match,mzCloud Best Match Confidence,mzCloud Best Sim. Match,KEGG Pathways,MS2,Area: 60_CTRL_1246.1,Area: 59_CTRL_1154.1,Area: 58_ERLE_1154.1,Area: 57_CTRL_1246.3,Area: 56_BOCU_1246.1,Area: 55_LEDU_CTRL.2,Area: 54_LEDU_CTRL.1,Area: 53_ERIN_1177.1,Area: 52_BOCU_1246.2,Area: 51_ERLE_1246.2,Area: 50_BOCU_CTRL.2,Area: 49_ERIN_1246.3,Area: 48_LEDU_CTRL.2,Area: 47_CTRL_1177.1,Area: 46_CTRL_1154.2,Area: 45_LEDU_1154.1,Area: 44_BOCU_1154.2,Area: 43_ERIN_1154.3,Area: 42_ERIN_1154.2,Area: 41_CTRL_CTRL.1,Area: 40_CTRL_CTRL.3,Area: 39_ERIN_1177.2,Area: 38_BOCU_1177.2,Area: 37_ERLE_1246.3,Area: 36_ERIN_CTRL.1,Area: 35_LEDU_1246.3,Area: 34_ERLE_1177.2,Area: 33_BOCU_1177.1,Area: 32_ERLE_CTRL.2,Area: 31_BOCU_CTRL.1,Area: 30_ERLE_1154.3,Area: 29_LEDU_1246.1,Area: 28_ERLE_CTRL.1,Area: 27_LEDU_1177.2,Area: 26_LEDU_1246.2,Area: 25_ERIN_CTRL.2,Area: 24_ERLE_1177.1,Area: 22_BOCU_CTRL.2,Area: 21_LEDU_1177.3,Area: 20_ERIN_1154.1,Area: 19_CTRL_1246.2,Area: 18_BOCU_1154.3,Area: 17_ERIN_CTRL.2,Area: 16_ERLE_CTRL.2,Area: 15_BOCU_1177.3,Area: 14_CTRL_1177.3,Area: 13_ERLE_1246.1,Area: 12_ERLE_1177.3,Area: 11_ERIN_1246.1,Area: 10_CTRL_1154.3,Area: 9_ERLE_1154.2,Area: 8_ERIN_1246.2,Area: 7_BOCU_1154.1,Area: 6_LEDU_1177.1,Area: 5_LEDU_1154.2,Area: 4_BOCU_1246.3,Area: 3_LEDU_1154.3,Area: 2_CTRL_CTRL.2,Area: 1_ERIN_1177.3,Gap Status: 60_CTRL_1246.1,Gap Status: 59_CTRL_1154.1,Gap Status: 58_ERLE_1154.1,Gap Status: 57_CTRL_1246.3,Gap Status: 56_BOCU_1246.1,Gap Status: 55_LEDU_CTRL.2,Gap Status: 54_LEDU_CTRL.1,Gap Status: 53_ERIN_1177.1,Gap Status: 52_BOCU_1246.2,Gap Status: 51_ERLE_1246.2,Gap Status: 50_BOCU_CTRL.2,Gap Status: 49_ERIN_1246.3,Gap Status: 48_LEDU_CTRL.2,Gap Status: 47_CTRL_1177.1,Gap Status: 46_CTRL_1154.2,Gap Status: 45_LEDU_1154.1,Gap Status: 44_BOCU_1154.2,Gap Status: 43_ERIN_1154.3,Gap Status: 42_ERIN_1154.2,Gap Status: 41_CTRL_CTRL.1,Gap Status: 40_CTRL_CTRL.3,Gap Status: 39_ERIN_1177.2,Gap Status: 38_BOCU_1177.2,Gap Status: 37_ERLE_1246.3,Gap Status: 36_ERIN_CTRL.1,Gap Status: 35_LEDU_1246.3,Gap Status: 34_ERLE_1177.2,Gap Status: 33_BOCU_1177.1,Gap Status: 32_ERLE_CTRL.2,Gap Status: 31_BOCU_CTRL.1,Gap Status: 30_ERLE_1154.3,Gap Status: 29_LEDU_1246.1,Gap Status: 28_ERLE_CTRL.1,Gap Status: 27_LEDU_1177.2,Gap Status: 26_LEDU_1246.2,Gap Status: 25_ERIN_CTRL.2,Gap Status: 24_ERLE_1177.1,Gap Status: 22_BOCU_CTRL.2,Gap Status: 21_LEDU_1177.3,Gap Status: 20_ERIN_1154.1,Gap Status: 19_CTRL_1246.2,Gap Status: 18_BOCU_1154.3,Gap Status: 17_ERIN_CTRL.2,Gap Status: 16_ERLE_CTRL.2,Gap Status: 15_BOCU_1177.3,Gap Status: 14_CTRL_1177.3,Gap Status: 13_ERLE_1246.1,Gap Status: 12_ERLE_1177.3,Gap Status: 11_ERIN_1246.1,Gap Status: 10_CTRL_1154.3,Gap Status: 9_ERLE_1154.2,Gap Status: 8_ERIN_1246.2,Gap Status: 7_BOCU_1154.1,Gap Status: 6_LEDU_1177.1,Gap Status: 5_LEDU_1154.2,Gap Status: 4_BOCU_1246.3,Gap Status: 3_LEDU_1154.3,Gap Status: 2_CTRL_CTRL.2,Gap Status: 1_ERIN_1177.3,Gap Status: 1plus_RP_pos_MS2.raw (F193)
TRUE,,δ-Valerolactam,(2R)-2-Hydroxy-2-methylbutanenitrile,C18796,C5 H9 N O,Full match,Full match,Partial match,Partial match,-0.3,99.06838,7.599,50730370.9,38,62,98.6,9.9,96.1,Biosynthesis of secondary metabolites;Cyanoamino acid metabolism,DDA for preferred ion,6916390.35,5274848.335,1025390.907,7406621.837,10636949.11,1138184.298,492358.8619,10587266.65,6646155.228,5058585.587,50730370.9,4818003.464,1750798.437,3514870.247,2456749.41,5328866.033,3550944.205,1248525.582,1616312.829,1150305.196,1537818.004,6726852.688,36458381.95,5767656.066,1985673.178,10013550.12,41007229.61,32220942.88,1154163.714,964466.895,538696.2721,7654065.509,510255.0321,34310769.25,6317475.649,2038198.127,5391025.754,3882576.114,3390152.313,622662.8249,9060670.468,8206937.868,2224325.307,1986045.899,5126707.036,6868937.192,5938723.556,4296504.407,4984246.888,3594321.743,1878633.893,6328308.135,3136142.09,3365481.88,4906996.091,4679539.658,2772726.251,1039567.529,3801707.184,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap
FALSE,,α-Lapachone,NA,NA,C15 H14 O3,No match,Invalid mass,No results,No results,90782.56,264.07224,7.381,162613704.4,0,10,88.4,9.4,99.1,,DDA for preferred ion,37940984.01,103001945.4,66803256.27,43645473.74,62637303.59,157492400.9,114100452.2,37937420.12,71315003.09,33382694.86,54023963.24,42303640.18,89397813.52,91938186.85,92056307.41,103458764.3,116148461.8,60173275.81,40721107.09,154680463.7,143101162.3,43803903.12,46952804.56,50607807.12,156264944.3,92674831.06,32418065.04,40907688.8,162613704.4,113803451.6,53960271.32,68340826.92,137863067,46037755.12,57103474.06,136597849.4,42260278.14,73822553.59,89394148.39,65520827.84,58151931.09,82120103.44,72141063.85,159635173.5,79327229.46,56166406.43,37971019.04,40921674.36,40340929.01,90680223.95,32636940.52,41983898.03,104342257.1,86323385.76,96887428.54,51631366.72,101378124,144757617,37539710.78,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,No gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,No gap,No gap,No gap,No gap,Full gap,Full gap,No gap,No gap,Full gap,Full gap,Full gap,No gap,No gap,Full gap,Full gap,No gap,No gap,Full gap,Full gap,No gap,Full gap,Full gap,No gap,Full gap,No gap,No gap,Full gap,Full gap,Full gap,No gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,No gap,No gap,No gap,Full gap,No gap,No gap,Full gap
FALSE,,α-Lactose,NA,NA,C12 H22 O11,No match,Invalid mass,No results,No results,49768.56,359.14284,1.297,6567127769,0,62,78.8,49.4,94.5,,DDA for preferred ion,2935016843,315581929.6,176254079.3,3229576979,3988189921,6023940974,5216030082,74682157.34,3654456106,2280918498,3557974026,2550549273,5691441687,761193302,80081395.79,171861555.5,151645124.8,78053364.23,58417245.94,1670227853,5771263692,105733104.5,166285172.8,2614204914,6044236916,4034616346,28640530.51,162695187.9,6439472833,5318952292,201288045.7,3733793930,5673252194,178954618.2,3079264593,5899734626,62516548.37,4812171960,617315860.9,180882255.6,3403539010,23544198.55,5680319711,6567127769,862268943.6,772266600.7,2443810116,87405418.97,2257877489,529970412.5,73841009.33,2987756454,161757296.1,564585014.5,122122922.3,3525943490,96441494.82,6177729688,97314533.63,Full gap,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,No gap,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Full gap,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Full gap,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions
FALSE,,α-Lactose,NA,NA,C12 H22 O11,No match,Invalid mass,No results,No results,49768.59,359.14285,1.403,211870755.4,0,72,76.9,48.3,96.1,,DDA for preferred ion,211870755.4,22619258.08,12882528.27,178423519.2,181307552.7,355054.4613,4398739.553,2323396.946,159564174.9,173306912.5,3250763.252,747046.5781,269379.1935,19765938.61,14855320.03,20383994.14,22318633.91,7441791.23,6985841.53,83635056.5,38712501.24,3087823.937,9628967.256,143810387.1,30631245.21,53629116.11,3408618.649,24031617.39,45298330.01,45325067.15,6152477.663,25663587.28,40702210.25,7371432.678,19620999.62,375112.1896,12550287.63,8099232.513,17074810.66,12279156.14,162888899,5865253.369,434049.7101,47667852.98,15319844.69,19853643.22,192173424.6,16583682.61,165812705.8,12255626.44,7296419.244,210588706.1,13173794.89,16386523.8,12469505.8,19700865.18,21715742.8,87663432.49,4239352.338,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap
TRUE,,α-Eleostearic acid,"(6Z,9Z,12Z)-Octadecatrienoic acid; (9Z,12Z,15Z)-Octadecatrienoic acid",C06426; C06427,C18 H30 O2,Full match,Full match,Partial match,Not the top hit,-0.05,278.22457,20.228,64300337.1,58,23,94.2,83.8,61.9,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of plant secondary metabolites;Other,DDA for preferred ion,19016304.46,4870413.181,4864356.637,13655278.88,42759220.85,5510790.448,4785357.019,8633481.558,34551021.02,6818290.929,16039110.41,3730372.057,6055312.951,9999916.744,6740116.493,5641044.904,6011059.494,3425641.845,5776591.84,4642205.26,5055103.077,3229982.288,33931925.43,3134566.996,4274493.377,11867182.55,31539866.35,64300337.1,4562720.876,4684824.885,7541803.349,24053178.85,4956932.143,49331788.25,10649946.26,4542322.224,4303616.848,4506230.624,7709056.091,6072386.118,32023319.14,6020561.379,4005674.586,4703062.006,7667028.211,9126471.867,6776402.4,3192913.01,8083264.09,5183422.105,4911278.964,8516278.893,7368405.785,6720868.244,5600933.589,12715346.13,6889694.389,4010956.861,4073797.936,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap
TRUE,,Υ-Aminobutyric acid (GABA),"4-Aminobutanoate; N,N-Dimethylglycine; (R)-3-Amino-2-methylpropanoate; (S)-2-Aminobutanoate; L-3-Aminoisobutanoate",C00334; C01026; C01205; C02356; C03284,C4 H9 N O2,Full match,Full match,Full match,Partial match,-0.16,103.06331,1.099,610553807.4,38,65,96.8,78.6,77.2,Metabolic pathways;Microbial metabolism in diverse environments;Other,DDA for preferred ion,78244452.83,106842169.1,46601325.03,119490082.3,152957869.7,275384021.9,188463839.2,25930038.75,103344272.3,57173204.18,72289980.74,49800271.63,134668225.9,113570484.2,37092236.09,97168896.28,62047783.8,42770007.88,35993403.52,261595381.1,232952094.5,33488508.83,610553807.4,82761047.89,276799615.2,107302139.1,180083586.6,510600368.2,286487846,174486707,48316571.87,113191836.3,209900403.9,532657411,89750085.54,249574933.1,30417636.05,108235661.5,90306481.7,55688427.73,163191454.8,451637535.1,94180813.81,265328972.2,227559237.7,171429212.2,50897509.74,42662469.04,63102161.58,115261485.8,31353453.25,91560038.19,51998643.63,122160331.4,101416177.3,65240007.78,51309215.52,245868068.5,29598066.12,Full gap,Missing ions,Full gap,Full gap,Missing ions,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Missing ions,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,No gap,Full gap,No gap,Full gap,No gap,Full gap,Missing ions,No gap,No gap,Missing ions,Full gap,Missing ions,No gap,No gap,Full gap,No gap,Full gap,Missing ions,Full gap,Full gap,No gap,No gap,Missing ions,No gap,No gap,Full gap,Full gap,Missing ions,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap
FALSE,,Υ-Aminobutyric acid (GABA),"4-Aminobutanoate; N,N-Dimethylglycine; (R)-3-Amino-2-methylpropanoate; (S)-2-Aminobutanoate; L-3-Aminoisobutanoate",C00334; C01026; C01205; C02356; C03284,C4 H9 N O2,No match,Invalid mass,No match,No match,-165204.71,86.03678,1.103,556014717,22,12,72.1,45.4,81.6,Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Other,DDA for preferred ion,70758093.78,95326543.2,42460643.63,109162566.7,138184371.8,247692751.9,169797140.9,23203724.3,92218160.06,51766967.52,65119308.82,45244438.2,122138256.1,102713419.9,34067418.92,88100347.61,55581383.96,38586936.95,32476276.87,237000944.8,210370939.8,30001817.19,556014717,74677507.7,251399484.1,97134358.35,163336215.7,465039746.3,258680793.4,157792109.1,43653878.74,101921220.8,190741285.1,485022783.4,81255213.33,225622529.2,27223091.83,97826358.79,81298666.56,50428570.88,146495430.2,409341274,85410534.92,239128393,206221900.6,155217114.9,46242729.41,38491961.7,56750305.27,104704918,28695434.75,83548596.88,47462840.51,110845329.8,91725830.67,59176132.14,46425982.83,220979609.4,26801441.66,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap
TRUE,,Valylproline,Dethiobiotin,C01909,C10 H18 N2 O3,Full match,Full match,Partial match,Full match,-0.05,214.13173,6.882,192689302.4,10,45,98.1,82.5,81.7,Metabolic pathways;Biosynthesis of cofactors;Other,DDA for preferred ion,16329899.62,78868328.13,58441017.55,85643323.29,178164712.1,92697810.78,50148669.74,26476000.69,192689302.4,40736304.62,55210856.86,71950931.59,27430165.51,180225790.8,51638573.97,115909434.4,101070066.2,42853536.52,30100129.03,73720235.55,56383271.94,39343533.91,33698680.95,105911596.3,72662183.26,152082084.5,4416949.213,25268811,83102403.18,43666192.62,43341654.09,144530656.6,61854571.65,40097533.78,87329625.16,65746390.88,35733764.35,31811663.6,105757764.8,49595046.19,116270272.6,14879035.24,30478826.75,110467040.3,114951258.6,49139090.74,54424885.59,27423324.75,44160310.16,56446434.62,23517962.78,66945032.94,53957275.17,81188869.46,54977799.3,83522768.26,89784293.94,64474935.93,39675516.47,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap
TRUE,,Valyllysine,NA,NA,C11 H23 N3 O3,Full match,Invalid mass,No results,Full match,-0.08,245.17392,1.411,31784758.01,4,17,,,63.4,,DDA for preferred ion,5747996.443,5801083.911,2119280.96,14238346.28,31553998.11,4884701.855,3181369.377,2937308.874,31784758.01,13599673.45,14311687.68,19667348.59,2880409.496,6469815.853,2495414.866,5068808.036,2498367.149,2973591.645,2296394.548,5142478.541,4925905.325,4680677.569,4450482.194,21975958.29,5207241.805,29634436.27,1377644.741,4959993.382,4937627.178,3063999.425,1773831.197,22816327.88,4703667.251,5257529.621,14162685.71,3954568.896,1895417.42,2518406.533,1576206.788,2834148.618,21798659.02,2842841.851,3059525.593,5335468.259,15472304.74,8113763.098,13617029.79,3681771.399,12709700.16,5816016.742,1937637.322,21066866.53,4677380.969,10001514.41,3458307.853,16539773.79,4830120.933,4409974.995,1634765.826,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap
TRUE,,Valine,L-Valine; 5-Aminopentanoate; Betaine; 4-Methylaminobutyrate,C00183; C00431; C00719; C15987,C5 H11 N O2,Full match,Full match,Full match,Full match,-0.41,117.07893,1.769,461560322.8,43,147,99,10,99.1,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of cofactors;ABC transporters;Protein digestion and absorption;Aminoacyl-tRNA biosynthesis;Central carbon metabolism in cancer;D-Amino acid metabolism;Cyanoamino acid metabolism;Other,DDA for preferred ion,29781804.25,343718240.9,189410606.7,66762488.07,318888778.1,383578282.3,235308506.8,96418174.64,280697957.8,60125683.49,147315200.5,184628577.5,155449720.9,461560322.8,189619088.7,399990752.4,344466101.5,144346651.4,119744703,377312653.3,324168419.3,111879663.5,285974028,112114748.7,387151696.8,225855792.5,202149111.5,265367176.3,412580432.5,237649325.5,137257449.7,210870824.3,279032166.9,288947923.7,97852890.32,389927192.9,132727471.5,122665754.8,345202753.6,154075608.4,137245855.9,269954297.3,158753682.6,428098462.6,293066636.3,143956782.7,76912639.97,98551834.46,72929886.65,247587012,89905793.51,151206905.5,275789020.4,356829805.3,294032111,107125411.7,334234169,341386789.3,107397218.1,Full gap,Full gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap
