Checked,Tags,Name,KEGG compound names,KEGG Ids,Formula,Annot. Source: Predicted Compositions,Annot. Source: mzCloud Search,Annot. Source: Metabolika Search,Annot. Source: ChemSpider Search,Annot. DeltaMass [ppm],Calc. MW,RT [min],Area (Max.),# ChemSpider Results,# mzCloud Results,mzCloud Best Match,mzCloud Best Match Confidence,mzCloud Best Sim. Match,KEGG Pathways,MS2,Area: 60_CTRL_1246.1,Area: 59_CTRL_1154.1,Area: 57_CTRL_1246.3,Area: 47_CTRL_1177.1,Area: 46_CTRL_1154.2,Area: 41_CTRL_CTRL.1,Area: 40_CTRL_CTRL.3,Area: 19_CTRL_1246.2,Area: 14_CTRL_1177.3,Area: 10_CTRL_1154.3,Area: 2_CTRL_CTRL.2,Gap Status: 60_CTRL_1246.1,Gap Status: 59_CTRL_1154.1,Gap Status: 57_CTRL_1246.3,Gap Status: 47_CTRL_1177.1,Gap Status: 46_CTRL_1154.2,Gap Status: 41_CTRL_CTRL.1,Gap Status: 40_CTRL_CTRL.3,Gap Status: 38_BOCU_1177.2,Gap Status: 14_CTRL_1177.3,Gap Status: 10_CTRL_1154.3,Gap Status: 2_CTRL_CTRL.2
FALSE,,α-Lapachone,NA,NA,C15 H14 O3,No match,Invalid mass,No results,No results,90782.56,264.07224,7.381,162613704.4,0,10,88.4,9.4,99.1,,DDA for preferred ion,37940984.01,103001945.4,43645473.74,91938186.85,92056307.41,154680463.7,143101162.3,58151931.09,56166406.43,90680223.95,144757617,Full gap,Full gap,Full gap,No gap,No gap,Full gap,No gap,Full gap,Full gap,Full gap,No gap
FALSE,,α-Lactose,NA,NA,C12 H22 O11,No match,Invalid mass,No results,No results,49768.56,359.14284,1.297,6567127769,0,62,78.8,49.4,94.5,,DDA for preferred ion,2935016843,315581929.6,3229576979,761193302,80081395.79,1670227853,5771263692,3403539010,772266600.7,529970412.5,6177729688,Full gap,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions
FALSE,,α-Lactose,NA,NA,C12 H22 O11,No match,Invalid mass,No results,No results,49768.59,359.14285,1.403,211870755.4,0,72,76.9,48.3,96.1,,DDA for preferred ion,211870755.4,22619258.08,178423519.2,19765938.61,14855320.03,83635056.5,38712501.24,162888899,19853643.22,12255626.44,87663432.49,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap
FALSE,,Υ-Aminobutyric acid (GABA),"4-Aminobutanoate; N,N-Dimethylglycine; (R)-3-Amino-2-methylpropanoate; (S)-2-Aminobutanoate; L-3-Aminoisobutanoate",C00334; C01026; C01205; C02356; C03284,C4 H9 N O2,No match,Invalid mass,No match,No match,-165204.71,86.03678,1.103,556014717,22,12,72.1,45.4,81.6,Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Other,DDA for preferred ion,70758093.78,95326543.2,109162566.7,102713419.9,34067418.92,237000944.8,210370939.8,146495430.2,155217114.9,104704918,220979609.4,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap
FALSE,,Val-Leu,NA,NA,C11 H22 N2 O3,Full match,Invalid mass,No results,Full match,0,230.16304,8.242,63003853.35,12,94,,,79.9,,DDA for preferred ion,9967321.8,9156235.459,30960956.72,23451071.93,7545344.947,12613509.31,10475212.79,36253577.71,15190280.67,5990123.385,9931215.039,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap
FALSE,,Tetrolic Acid,3-Butynoate,C06144,C4 H4 O2,Full match,No results,No results,Full match,0.23,84.02115,1.307,421598209,12,0,,,,Metabolic pathways;Other,DDA for preferred ion,43126032.95,4114659.063,46669313.24,7437552.689,1689443.284,421598209,275635951.2,50007344.26,6550414.207,5157954.456,401901344.5,Full gap,No gap,Full gap,No gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap
FALSE,,Tetrolic Acid,3-Butynoate,C06144,C4 H4 O2,Full match,Invalid mass,No results,Full match,0.2,84.02115,1.194,280438806.2,12,59,,,99.1,Metabolic pathways;Other,DDA for preferred ion,101159854.7,15218358.83,121232130.8,31853351.51,17345111.73,243394532.9,164775011.8,133224265.1,17983274.43,15764407.1,176064551.4,Full gap,No gap,Full gap,No gap,Full gap,Full gap,No gap,Full gap,Full gap,No gap,Full gap
FALSE,,Tetrolic Acid,3-Butynoate,C06144,C4 H4 O2,Full match,No results,No results,Full match,0.22,84.02115,1.151,224024246.4,12,0,,,,Metabolic pathways;Other,DDA for preferred ion,12191979.77,12889029.64,21669403.96,26636398.94,14090361.73,4054900.353,29986180.19,36608682.83,13785983.76,12422297.85,30600020.29,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap
FALSE,,RV0540000,NA,NA,C5 H12 O4,Full match,Invalid mass,No results,Full match,0.02,136.07356,1.386,61635917.4,7,3,,,96.6,,DDA for preferred ion,4921706.766,30175286.02,4718322.299,39614835.91,36229211.1,411940.6435,552711.2371,5805570.442,45484805.94,35767000.73,1171318.916,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap
FALSE,,Pyrone,Furfural,C14279,C5 H4 O2,Full match,Invalid mass,No results,Full match,-0.14,96.02112,1.309,242912219.9,7,112,,,99.2,Metabolic pathways;Microbial metabolism in diverse environments;Other,DDA for preferred ion,60290041.52,1317354.33,68783757.06,5575652.019,1673879.461,129179604.4,141254980.5,69745650.17,10156513.65,2014510.252,133162622.5,Full gap,Full gap,Full gap,Missing ions,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap
