Name,Formula,Annot. Source: Predicted Compositions,Annot. Source: mzCloud Search,Annot. Source: Metabolika Search,Annot. Source: ChemSpider Search,Annot. DeltaMass [ppm],Calc. MW,RT [min],Area (Max.),# mzCloud Results,mzCloud Best Match,mzCloud Best Match Confidence,KEGG Pathways,MS2,Group Area: CTRL1,Group Area: F1154_1,Group Area: F1177_1,Group Area: F1246_1,Group Area: CTRL2,Group Area: CTRL3,Group Area: F1154_2,Group Area: F1177_3,Group Area: F1246_2,Group Area: F1154_3,Group Area: F1246_3,Gap Fill Status: 2plus_RP_pos_MS2.raw (F14),Gap Fill Status: 10plus_RP_pos_MS2.raw (F15),Gap Fill Status: 14plus_RP_pos_MS2.raw (F16),Gap Fill Status: 19plus_RP_pos_MS2.raw (F17),Gap Fill Status: 23plus_RP_pos_MS2.raw (F18),Gap Fill Status: 40plus_RP_pos_MS2.raw (F19),Gap Fill Status: 41plus_RP_pos_MS2.raw (F20),Gap Fill Status: 46plus_RP_pos_MS2.raw (F21),Gap Fill Status: 47plus_RP_pos_MS2.raw (F22),Gap Fill Status: 57plus_RP_pos_MS2.raw (F23),Gap Fill Status: 59plus_RP_pos_MS2.raw (F24),Gap Fill Status: 60plus_RP_pos_MS2.raw (F25),Gap Fill Status: Bplus_RP_pos_MS2.raw (F26)
α-Lactose,C12 H22 O11,No match,Invalid mass,No results,No results,49768.54,359.14284,1.3,5591208591,99,78.8,49.3,,DDA for preferred ion,5591208591,533802061.5,798046321.7,3370710677,5259667714,1092900591,77710202.48,757594983.4,3155308393,313467872.4,2881807793,0,0,0,0,128,0,0,0,0,0,0,0,16
,C30 H35 N2 O7 P,Invalid mass,No results,No results,No results,-5.01,566.21535,19.621,4292997204,0,,,Biosynthesis of secondary metabolites;Other,DDA for preferred ion,1009924.781,1309396.934,2896980.25,4189359410,9339108.56,1143722.637,1297994.99,1096385.904,3851906302,1297645.954,4292997204,32,16,128,0,32,128,16,16,32,0,128,0,32
"1-(3,4-dimethoxyphenyl)ethan-1-one oxime",C10 H13 N O3,No results,Full match,No results,No results,0.07,195.08956,7.345,3996839365,16,68.1,67.4,Other,DDA for preferred ion,2781581.563,2755193.107,133982144.8,1932928.476,3584031.268,2986687.263,1774515.843,3996839365,2836879.689,2630914.973,2191114.355,16,16,16,16,16,16,16,16,0,16,16,16,16
"3,4-Dihydroxyphenylpropionic acid",C9 H10 O4,No match,Invalid mass,No match,No match,-98927.48,164.04738,19.618,3929117045,4,79.3,9,"Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;2-Oxocarboxylic acid metabolism;Phenylpropanoid biosynthesis;Biosynthesis of phenylpropanoids;D-Amino acid metabolism;Degradation of aromatic compounds;Phenylalanine, tyrosine and tryptophan biosynthesis;Tropane, piperidine and pyridine alkaloid biosynthesis;Biosynthesis of various plant secondary metabolites;Other",DDA for preferred ion,604717.071,1248378.513,3863775.906,3929117045,10153702.25,995846.8351,559097.436,720198.9377,3699128294,1601113.009,3886994746,16,128,128,0,128,128,16,32,16,0,128,0,16
"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",C11 H12 O3,Full match,Full match,No results,Full match,0.09,192.07866,19.617,2921797054,53,73.4,52.7,Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Phenylpropanoid biosynthesis;Other,DDA for preferred ion,817106.9296,751110.9385,2206629.964,2921797054,7378643.782,872850.1032,286793.2395,909997.4955,2675385293,1738263.012,2874776777,16,128,128,0,32,128,128,16,16,0,128,0,32
D-(+)-Glucose,C6 H12 O6,No match,Invalid mass,No results,No results,94558.96,197.08999,1.165,2835940301,63,95.5,86.3,,DDA for preferred ion,2835940301,127119788.5,257401689.7,2500866903,2013895614,2152735047,145903017.2,442979187.5,2051109247,171917711.8,1585909977,0,0,0,0,128,0,0,0,0,0,0,0,16
"1-(3,4-dimethoxyphenyl)ethan-1-one oxime",C10 H13 N O3,Full match,Full match,No results,Partial match,0.06,195.08955,7.389,2830391164,16,67.8,67.3,Other,DDA for preferred ion,1749356.625,1576816.303,2830391164,2809624.038,3866751.77,2654103.228,1526934.641,651580794.2,2518249.91,2343500.54,1911133.118,16,16,0,16,16,16,16,16,16,16,16,16,16
[Similar to: NP-022075; ΔMass: 142.0631 Da],C32 H24 N8 O2,Full match,Invalid mass,No results,No results,-4.64,552.19966,19.378,2535278944,9,,,,DDA for preferred ion,1694897.338,1864041.323,2037584.614,2163291799,1988717.429,1964853.909,1929945.826,1846741.152,2301129793,3623174.178,2535278944,32,32,16,0,32,32,32,32,32,0,32,0,32
"N,N-dimethyl-5-nitro-6-[3-(trifluoromethyl)phenoxy]pyrimidin-4-amine",C13 H11 F3 N4 O3,No match,Full match,No results,No match,-3.72,328.0771,6.042,2294596830,15,75.9,8.8,,DDA for preferred ion,2294596830,1356245.279,5696390.139,202706755,210565399.1,406326822.4,5445597.877,2080109.681,58631312.09,5714927.434,31839577.73,0,32,16,16,16,16,16,16,32,16,16,16,32
Choline O-Sulfate,C5 H13 N O4 S,Full match,Invalid mass,No results,Full match,0.15,183.05656,1.175,2281488183,14,,,ABC transporters,DDA for preferred ion,18455380.89,173889126.6,358388843.4,2281488183,18362239.37,17267620.54,388426123.5,1013034308,1617001965,273773566.5,1510370737,128,0,0,0,0,128,128,0,0,0,0,0,32
