FeatureID,Name,Formula,MW,KEGG.Pathways,name4plot,C,H,O,NA.,F,N,Cl,P,S,H_to_C,O_to_C,NOSC,GFE,DBE,DBE_O,AI,AI_mod,DBE_AI,Class,control_means,treatment_means,ratio,log2FC,pval,pval.adj,Comment
Feature0550,NA,C23 H38 O5,354.27704,NA,Feature0550,23,38,5,0,0,0,0,0,0,1.6521739130434783,0.21739130434782608,-1.2173913043478262,94.99565217391304,5,0,0,0.12195121951219512,0,Lipid,21.564232553623434,27.712602074227068,1.2851188654784993,0.36190180588249754,0.002172892560598743,0.006097402593516881,Upregulated
Feature0549,NA,NA,684.19664,NA,Feature0549,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,1,Inf,Inf,1,Other,22.1117773688128,26.743253321214766,1.2094574251156471,0.2743599849808414,0.05372044725762546,0.07796148051357298,Upregulated
Feature0548,NA,C14 H10 F N O2,243.07186,NA,Feature0548,14,10,2,0,1,1,0,0,0,0.7142857142857143,0.14285714285714285,-0.2142857142857144,66.40714285714286,10.5,8.5,0.6818181818181818,0.7083333333333334,7.5,Condensed HC,19.067601268839532,28.10716724881337,1.4740798725818955,0.5598146985549958,0.010660641143928342,0.020886343823213853,Upregulated
Feature0547,NA,C8 H15 N O4,189.10013,NA,Feature0547,8,15,4,0,0,1,0,0,0,1.875,0.5,-0.5,74.55,2,-2,-1,-0.2,-3,Protein,20.943639419688033,21.5279571762776,1.0278995328787164,0.039699262099088826,0.06837002938754456,0.09638730578106938,Upregulated
Feature0546,NA,C19 H22 Cl2 N6 O,420.12438,NA,Feature0546,20,22,1,0,0,6,2,0,0,1.1,0.05,-0.09999999999999964,63.149999999999984,13,12,0.46153846153846156,0.48148148148148145,6,Unsaturated HC,29.4112188135347,19.89039166893903,0.6762858688394684,-0.5642948862813663,7.258389428822931e-7,4.435682428725125e-5,Downregulated
Feature0545,NA,NA,85.98542,NA,Feature0545,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,1,Inf,Inf,1,Other,26.745868438791035,26.800333578906567,1.0020363945272586,0.002934908982674666,0.43809303885958667,0.48973815319669245,Upregulated
Feature0544,NA,C14 H10 F N O2,221.08991,Metabolic pathways;ABC transporters;Other,Feature0544,14,10,2,0,1,1,0,0,0,0.7142857142857143,0.14285714285714285,-0.2142857142857144,66.40714285714286,10.5,8.5,0.6818181818181818,0.7083333333333334,7.5,Condensed HC,21.0748550956982,27.298921592692132,1.2953314017454092,0.37332124886829,1.397449865623927e-4,0.001164541554686606,Upregulated
Feature0543,NA,C5 H14 N O6 P,215.05586,Metabolic pathways;Other,Feature0543,5,14,6,0,0,1,0,1,0,2.8,1.2,-0.7999999999999998,83.1,0,-6,2.6666666666666665,-Inf,-8,Other,22.283568153689032,24.612690592140034,1.1045219698383635,0.14342211535378224,2.839710951249609e-4,0.0017136432598511514,Upregulated
Feature0542,NA,C23 H38 O5,376.259,NA,Feature0542,23,38,5,0,0,0,0,0,0,1.6521739130434783,0.21739130434782608,-1.2173913043478262,94.99565217391304,5,0,0,0.12195121951219512,0,Lipid,20.4610824734598,26.074768365102333,1.2743591840228434,0.3497719651720109,0.004329027952677002,0.010189673012251762,Upregulated
Feature0541,NA,C14 H10 F N O2,243.07186,NA,Feature0541,14,10,2,0,1,1,0,0,0,0.7142857142857143,0.14285714285714285,-0.2142857142857144,66.40714285714286,10.5,8.5,0.6818181818181818,0.7083333333333334,7.5,Condensed HC,18.79620441864663,27.628939561748332,1.469921211025948,0.5557388275048724,9.14125318292851e-9,5.02768925061068e-6,Upregulated
Feature0540,NA,NA,103.99596,NA,Feature0540,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,1,Inf,Inf,1,Other,26.902492112391034,26.997682087554836,1.003538332982912,0.005095725567607928,0.24728589587689848,0.29957542452047176,Upregulated
Feature0539,NA,C4 H2 O8 S2,241.91814,NA,Feature0539,4,2,8,0,0,0,0,0,2,0.5,2,4.5,-67.95,4,-4,1,1,-6,Other,26.365156535042633,26.561542494745765,1.0074486931053153,0.010706367698823908,0.09042744450333631,0.12250023270156397,Upregulated
Feature0538,NA,C10 H19 N O8,281.11106,NA,Feature0538,10,19,8,0,0,1,0,0,0,1.9,0.8,0,60.3,2,-6,-7,-0.6,-7,Carbohydrate,25.535446678463366,23.857591165245132,0.9342930815213294,-0.09805291012221723,0.0016615664093674839,0.005077008473067312,Downregulated
Feature0537,NA,C12 H12 N2 O S,232.07112,NA,Feature0537,12,12,1,0,0,2,0,0,1,1,0.08333333333333333,-0.16666666666666696,65.05000000000001,8,7,0.5,0.5294117647058824,4,Unsaturated HC,26.0604566225288,27.267901383744835,1.0463324483797503,0.0653413080153559,0.03640042016647638,0.055611753032116684,Upregulated
Feature0536,NA,C11 H20 N4 O3,256.15356,NA,Feature0536,11,20,3,0,0,4,0,0,0,1.8181818181818181,0.2727272727272727,-0.18181818181818166,65.48181818181817,4,1,-0.75,-0.2727272727272727,-3,Lipid,18.8906839919831,19.1943419165076,1.0160744801328194,0.023006158192704705,0.050723899305722235,0.07459396956723859,Upregulated
Feature0535,NA,C23 H40 N2 O3,370.31962,NA,Feature0535,23,40,3,0,0,2,0,0,0,1.7391304347826086,0.13043478260869565,-1.2173913043478262,94.99565217391304,5,2,0,0.07692307692307693,0,Lipid,26.251572141706166,27.230584901322466,1.037293490627212,0.05282414638464838,0.024427741162407247,0.03974928295657984,Upregulated
Feature0534,NA,C19 H20 N4 O2,336.16458,NA,Feature0534,19,20,2,0,0,4,0,0,0,1.0526315789473684,0.10526315789473684,-0.21052631578947345,66.29999999999998,12,10,0.46153846153846156,0.5,6,Unsaturated HC,25.270011922462032,25.7104756206292,1.0174302924556853,0.024929954026168252,0.05438715938111195,0.07871825699897783,Upregulated
Feature0533,NA,C2 H3 P S,89.96937,NA,Feature0533,2,3,0,0,0,0,0,1,1,1.5,0,-3,145.8,2,2,NA,NA,0,Lipid,25.590449068228935,26.3678270727098,1.030377661697465,0.04317322167500181,0.015433277278178262,0.02801419967986153,Upregulated
Feature0532,NA,C11 H22 N2 O3,230.16304,NA,Feature0532,11,22,3,0,0,2,0,0,0,2,0.2727272727272727,-0.9090909090909092,86.2090909090909,2,-1,-0.5,-0.2,-3,Lipid,24.871048994326202,24.7442525991034,0.9949018477165267,-0.007373891640491402,0.6980457475738684,0.7369005012775962,Downregulated
Feature0531,NA,C16 H29 N O13,443.16395,NA,Feature0531,16,29,13,0,0,1,0,0,0,1.8125,0.8125,0,60.3,3,-10,-5.5,-0.5294117647058824,-11,Carbohydrate,27.603754769729033,22.280034103059698,0.8071378074801816,-0.3091130803744907,2.8664578164782896e-4,0.0017136432598511514,Downregulated
Feature0530,NA,NA,101.96297,NA,Feature0530,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,1,Inf,Inf,1,Other,25.765759067317234,25.9803784087592,1.0083296339487318,0.011967348680678204,0.18311355687420722,0.23046328668378482,Upregulated
Feature0529,NA,C18 H25 N5 O10,471.15896,NA,Feature0529,18,25,10,0,0,5,0,0,0,1.3888888888888888,0.5555555555555556,0.5555555555555554,44.46666666666667,9,-1,-2,-0.125,-6,Phenol,26.414495450704532,23.2169240845477,0.8789463394398643,-0.18615300481687186,3.3166808933364e-5,4.56043622833755e-4,Downregulated
Feature0528,NA,C14 H26 N6 O10,438.1713,Metabolic pathways;Biosynthesis of secondary metabolites;Other,Feature0528,14,26,10,0,0,6,0,0,0,1.8571428571428572,0.7142857142857143,0.8571428571428572,35.87142857142857,5,-5,5.5,-2,-11,Carbohydrate,23.494460937487865,18.597486631520066,0.7915689864518591,-0.3372130059589932,9.572860130096398e-4,0.0035336060882906165,Downregulated
Feature0527,NA,C18 H11 F3 N2,312.08214,NA,Feature0527,18,11,0,0,3,2,0,0,0,0.6111111111111112,0,-0.2777777777777777,68.21666666666667,14.5,14.5,0.78125,0.78125,12.5,Condensed HC,23.432578585114666,20.510390510995368,0.8752937896482468,-0.19216076053799505,0.012363710987329543,0.023129391302827377,Downregulated
Feature0526,NA,C20 H32 N6 O3,404.25385,NA,Feature0526,20,32,3,0,0,6,0,0,0,1.6,0.15,-0.40000000000000036,71.7,8,5,-0.09090909090909091,0.04,-1,Lipid,21.518410348628834,21.43800700518913,0.9962635091469558,-0.005400712976542314,0.8979824700425834,0.9163086429005953,Downregulated
Feature0525,NA,C18 H23 N5,309.19516,NA,Feature0525,18,23,0,0,0,5,0,0,0,1.2777777777777777,0,-0.44444444444444464,72.96666666666667,10,10,0.38461538461538464,0.38461538461538464,5,Unsaturated HC,25.1707144413364,26.475903912292633,1.051853493233104,0.07293377373167229,0.6275399815148579,0.6714921981190114,Upregulated
Feature0524,NA,C10 H7 Cl N4,218.04022,NA,Feature0524,11,7,0,0,0,4,1,0,0,0.6363636363636364,0,0.4545454545454546,47.345454545454544,10.5,10.5,0.9285714285714286,0.9285714285714286,6.5,Condensed HC,25.574843947631333,21.7694691644921,0.8512063342035886,-0.23241920827511128,0.001496436104189922,0.0047803148616805844,Downregulated
Feature0523,NA,C9 H9 N O4,179.07955,Metabolic pathways;Biosynthesis of secondary metabolites;Other,Feature0523,9,9,4,0,0,1,0,0,0,1,0.4444444444444444,0.22222222222222232,53.96666666666666,6,2,0.25,0.5,1,Phenol,25.7604712448885,24.051919466793734,0.9336754455361999,-0.09900695232623315,3.2788032446474084e-4,0.0017709806013442235,Downregulated
Feature0522,NA,C19 H20 N4 O2,318.1539,NA,Feature0522,19,20,2,0,0,4,0,0,0,1.0526315789473684,0.10526315789473684,-0.21052631578947345,66.29999999999998,12,10,0.46153846153846156,0.5,6,Unsaturated HC,24.227452906676266,25.394432437075068,1.0481676524104282,0.06786949164316909,2.845459766595003e-4,0.0017136432598511514,Upregulated
Feature0521,NA,C11 H11 N3 O S,233.0664,NA,Feature0521,11,11,1,0,0,3,0,0,1,1,0.09090909090909091,0.18181818181818166,55.11818181818182,8,7,0.5,0.5384615384615384,3,Unsaturated HC,24.36547191686463,24.546899801295535,1.0074461059096222,0.010702662756612583,0.36741310474414596,0.42011893473862844,Upregulated
Feature0520,NA,C9 H11 N O3,181.07154,NA,Feature0520,9,11,3,0,0,1,0,0,0,1.2222222222222223,0.3333333333333333,-0.22222222222222232,66.63333333333333,5,2,0.2,0.38461538461538464,1,Phenol,21.2993936101308,22.957744575992933,1.0778590694278432,0.1081685573770024,0.06975406427460426,0.09786922283426619,Upregulated
Feature0519,NA,C22 H23 N3 O5,431.14036,NA,Feature0519,22,23,5,0,0,3,0,0,0,1.0454545454545454,0.22727272727272727,-0.18181818181818166,65.48181818181817,13,8,0.35714285714285715,0.45454545454545453,5,Phenol,28.666577859273133,20.440270149237033,0.7130348885583832,-0.487955425905799,2.7442201929224155e-5,4.1293611710128617e-4,Downregulated
Feature0518,NA,C30 H30 N6 O9,618.20799,NA,Feature0518,30,30,9,0,0,6,0,0,0,1,0.3,0.20000000000000018,54.599999999999994,19,10,0.26666666666666666,0.4358974358974359,4,Phenol,20.416800324550803,20.993836808714132,1.0282628264463876,0.04020906798240638,0.02406961925258484,0.039399674371790656,Upregulated
Feature0517,NA,C11 H21 N O8 S,327.09887,Other,Feature0517,11,21,8,0,0,1,0,0,1,1.9090909090909092,0.7272727272727273,0,60.3,2,-6,-8,-0.8,-8,Carbohydrate,25.479231351730935,20.9576151913022,0.8225371834020591,-0.2818471964683946,0.01178861736482178,0.022491042097213244,Downregulated
Feature0516,NA,C35 H63 N O3,545.48105,NA,Feature0516,35,63,3,0,0,1,0,0,0,1.8,0.08571428571428572,-1.5428571428571427,104.27142857142857,5,2,0.03225806451612903,0.07692307692307693,1,Lipid,23.277502267765797,24.932461494432832,1.0710969419154042,0.09908906019214703,0.6652567235649529,0.7049926742981197,Upregulated
Feature0515,NA,C12 H15 N3 S,233.10278,NA,Feature0515,12,15,0,0,0,3,0,0,1,1.25,0,-0.33333333333333304,69.79999999999998,7,7,0.375,0.375,3,Unsaturated HC,18.7364087007578,27.514216406963467,1.4684893378660473,0.5543327908492668,8.913635262592078e-5,8.309321007501089e-4,Upregulated
Feature0514,NA,C35 H63 N O3,545.48106,NA,Feature0514,35,63,3,0,0,1,0,0,0,1.8,0.08571428571428572,-1.5428571428571427,104.27142857142857,5,2,0.03225806451612903,0.07692307692307693,1,Lipid,22.60355664550813,26.590005258571068,1.1763637765322714,0.2343342654836084,0.2771748572180365,0.3314047205867827,Upregulated
Feature0513,NA,NA,257.89211,NA,Feature0513,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,1,Inf,Inf,1,Other,24.9573883633217,24.8487146632086,0.9956456301223885,-0.006295744798656725,0.31503014528529644,0.3703807407541481,Downregulated
Feature0512,NA,C18 H34 N2 O12,470.2113,NA,Feature0512,18,34,12,0,0,2,0,0,0,1.8888888888888888,0.6666666666666666,-0.22222222222222232,66.63333333333333,3,-9,-2.75,-0.5,-11,Amino Sugar,26.763209566849234,21.746140265636033,0.8125385788023088,-0.2994917820121831,3.949421269948967e-6,1.0343722373675866e-4,Downregulated
Feature0511,NA,C3 H2 N4 O18 S2,445.88051,NA,Feature0511,3,2,18,0,0,4,0,0,2,0.6666666666666666,6,16.666666666666664,-414.69999999999993,5,-13,0.9047619047619048,0.8333333333333334,-19,Other,24.9476102078609,25.524260327264066,1.0231144432111363,0.032967530634171814,0.004249035871375249,0.010073145384725805,Upregulated
Feature0510,NA,C18 H19 F3 N2,283.12969,NA,Feature0510,18,19,0,0,3,2,0,0,0,1.0555555555555556,0,-0.7222222222222223,80.88333333333333,10.5,10.5,0.53125,0.53125,8.5,Unsaturated HC,19.431755067608268,19.583549537616666,1.0078116706123694,0.011226068144951895,0.24539561054771744,0.2979416905104737,Upregulated
Feature0509,NA,C6 H5 O13 P3,377.89309,NA,Feature0509,6,5,13,0,0,0,0,3,0,0.8333333333333334,2.1666666666666665,1,31.799999999999997,6,-7,1,1,-10,Other,24.646751050493833,25.30568079294873,1.0267349534672927,0.03806380515268538,0.0047928185379130005,0.010983542482717292,Upregulated
Feature0508,NA,C16 H28 N2 O13,456.15919,NA,Feature0508,16,28,13,0,0,2,0,0,0,1.75,0.8125,0.25,53.175,4,-9,-11,-0.6,-11,Carbohydrate,27.830844255957267,20.2157636276476,0.7263798195169865,-0.4612039730503751,3.5507937636120303e-6,1.027861352624535e-4,Downregulated
Feature0507,NA,C10 H17 N7 O8,363.11421,NA,Feature0507,10,17,8,0,0,7,0,0,0,1.7,0.8,2,3.299999999999997,6,-2,1.8,5,-9,Carbohydrate,25.903906136397367,22.583571236461164,0.8718210727581804,-0.19789601944011334,5.156328676484342e-4,0.002324574403333105,Downregulated
