FeatureID,Name,Formula,MW,KEGG.Pathways,name4plot,C,H,O,NA.,F,N,Cl,P,S,H_to_C,O_to_C,NOSC,GFE,DBE,DBE_O,AI,AI_mod,DBE_AI,Class,control_means,treatment_means,ratio,log2FC,pval,pval.adj,Comment
Feature0042,NA,NA,243.07186,NA,Feature0042,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,1,Inf,Inf,1,Other,21.55260989,27.68394185,1.284482111,0.361186798,0.018712295,0.215273855,Upregulated
Feature0335,"1-(3,4-dimethoxyphenyl)ethan-1-one oxime",C10 H13 N O3,195.08957,Other,"1-(3,4-dimethoxyphenyl)ethan-1-one oxime",10,13,3,0,0,1,0,0,0,1.3,0.3,-0.4,71.7,5,2,0.166666667,0.333333333,1,Phenol,25.34960583,32.47113855,1.28093268,0.357194657,0.029858148,0.245104196,Upregulated
Feature0487,(±)13-HpODE,C18 H32 O4,294.21938,Metabolic pathways;Biosynthesis of secondary metabolites;Other,(±)13-HpODE,18,32,4,0,0,0,0,0,0,1.777777778,0.222222222,-1.333333333,98.3,3,-1,-0.071428571,0.0625,-1,Lipid,21.37695355,26.75474521,1.2515696,0.323738522,0.018281837,0.215273855,Upregulated
Feature0304,"3-Hydroxy-4,5,6-trimethoxytetrahydro-2H-pyran-2-carboxamide",C9 H17 N O6,235.10555,NA,"3-Hydroxy-4,5,6-trimethoxytetrahydro-2H-pyran-2-carboxamide",9,17,6,0,0,1,0,0,0,1.888888889,0.666666667,-0.222222222,66.63333333,2,-4,-2.5,-0.4,-5,Amino Sugar,21.80748654,27.22839814,1.248580303,0.320288612,0.052561666,0.26375688,Upregulated
Feature0361,[Similar to: N1-phenethyl-3-(2-thienyl)acrylamide; ΔMass: 0.0001 Da],C7 H11 N7 O4,257.08751,NA,[Similar to: N1-phenethyl-3-(2-thienyl)acrylamide; ΔMass: 0.0001 Da],7,11,4,0,0,7,0,0,0,1.571428571,0.571428571,2.571428571,-12.98571429,6,2,1.25,1.5,-5,Amino Sugar,21.6516897,27.02757975,1.248289631,0.319952711,0.047294789,0.26375688,Upregulated
Feature0460,"[Similar to: 2-(2-thienyl)-1,3-thiazole-4-carboxylic acid; ΔMass: -38.9050 Da]",NA,172.07118,NA,"[Similar to: 2-(2-thienyl)-1,3-thiazole-4-carboxylic acid; ΔMass: -38.9050 Da]-peak2",0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,1,Inf,Inf,1,Other,21.56738806,26.86884909,1.245809136,0.317083058,0.062656319,0.26375688,Upregulated
Feature0036,NA,NA,188.06609,NA,Feature0036,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,1,Inf,Inf,1,Other,22.18962228,27.63396818,1.245355501,0.316557635,0.054234588,0.26375688,Upregulated
Feature0091,Phenacetin isomer 1,C10 H13 N O2,179.09462,"Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis;Other",Phenacetin isomer 1,10,13,2,0,0,1,0,0,0,1.3,0.2,-0.6,77.4,5,3,0.285714286,0.375,2,Phenol,24.81092306,30.71724233,1.238053185,0.308073292,0.021718387,0.221205796,Upregulated
Feature0039,NA,NA,792.22295,NA,Feature0039,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,1,Inf,Inf,1,Other,20.62335566,25.51822781,1.237346057,0.307249045,0.078325968,0.26375688,Upregulated
Feature0251,Beauvericin,C45 H57 N3 O9,805.39159,NA,Beauvericin,45,57,9,0,0,3,0,0,0,1.266666667,0.2,-0.666666667,79.3,19,10,0.212121212,0.306666667,7,Phenol,23.76799807,29.33174214,1.234085515,0.303442369,0.05590277,0.26375688,Upregulated
