"","10plus_RP_pos_MS2","11plus_RP_pos_MS2","12plus_RP_pos_MS2","13plus_RP_pos_MS2","14plus_RP_pos_MS2","15plus_RP_pos_MS2","16plus_RP_pos_MS2","17plus_RP_pos_MS2","18plus_RP_pos_MS2","19plus_RP_pos_MS2","1plus_RP_pos_MS2","20plus_RP_pos_MS2","21plus_RP_pos_MS2","22plus_RP_pos_MS2","24plus_RP_pos_MS2","25plus_RP_pos_MS2","26plus_RP_pos_MS2","27plus_RP_pos_MS2","28plus_RP_pos_MS2","29plus_RP_pos_MS2","2plus_RP_pos_MS2","30plus_RP_pos_MS2","31plus_RP_pos_MS2","32plus_RP_pos_MS2","33plus_RP_pos_MS2","34plus_RP_pos_MS2","35plus_RP_pos_MS2","36plus_RP_pos_MS2","37plus_RP_pos_MS2","38plus_RP_pos_MS2","39plus_RP_pos_MS2","3plus_RP_pos_MS2","40plus_RP_pos_MS2","41plus_RP_pos_MS2","42plus_RP_pos_MS2","43plus_RP_pos_MS2","44plus_RP_pos_MS2","45plus_RP_pos_MS2","46plus_RP_pos_MS2","47plus_RP_pos_MS2","48plus_RP_pos_MS2","49plus_RP_pos_MS2","4plus_RP_pos_MS2","50plus_RP_pos_MS2","51plus_RP_pos_MS2","52plus_RP_pos_MS2","53plus_RP_pos_MS2","54plus_RP_pos_MS2","55plus_RP_pos_MS2","56plus_RP_pos_MS2","57plus_RP_pos_MS2","58plus_RP_pos_MS2","59plus_RP_pos_MS2","5plus_RP_pos_MS2","60plus_RP_pos_MS2","6plus_RP_pos_MS2","7plus_RP_pos_MS2","8plus_RP_pos_MS2","9plus_RP_pos_MS2"
"Feature0001",115261485.8,63102161.58,42662469.04,50897509.74,171429212.2,227559237.7,265328972.2,94180813.81,451637535.1,163191454.8,29598066.12,55688427.73,90306481.7,108235661.5,30417636.05,249574933.1,89750085.54,532657411,209900403.9,113191836.3,245868068.5,48316571.87,174486707,286487846,510600368.2,180083586.6,107302139.1,276799615.2,82761047.89,610553807.4,33488508.83,51309215.52,232952094.5,261595381.1,35993403.52,42770007.88,62047783.8,97168896.28,37092236.09,113570484.2,134668225.9,49800271.63,65240007.78,72289980.74,57173204.18,103344272.3,25930038.75,188463839.2,275384021.9,152957869.7,119490082.3,46601325.03,106842169.1,101416177.3,78244452.83,122160331.4,51998643.63,91560038.19,31353453.25
"Feature0002",3594321.743,4984246.888,4296504.407,5938723.556,6868937.192,5126707.036,1986045.899,2224325.307,8206937.868,9060670.468,3801707.184,622662.8249,3390152.313,3882576.114,5391025.754,2038198.127,6317475.649,34310769.25,510255.0321,7654065.509,1039567.529,538696.2721,964466.895,1154163.714,32220942.88,41007229.61,10013550.12,1985673.178,5767656.066,36458381.95,6726852.688,2772726.251,1537818.004,1150305.196,1616312.829,1248525.582,3550944.205,5328866.033,2456749.41,3514870.247,1750798.437,4818003.464,4679539.658,50730370.9,5058585.587,6646155.228,10587266.65,492358.8619,1138184.298,10636949.11,7406621.837,1025390.907,5274848.335,4906996.091,6916390.35,3365481.88,3136142.09,6328308.135,1878633.893
"Feature0003",529970412.5,2257877489,87405418.97,2443810116,772266600.7,862268943.6,6567127769,5680319711,23544198.55,3403539010,97314533.63,180882255.6,617315860.9,4812171960,62516548.37,5899734626,3079264593,178954618.2,5673252194,3733793930,6177729688,201288045.7,5318952292,6439472833,162695187.9,28640530.51,4034616346,6044236916,2614204914,166285172.8,105733104.5,96441494.82,5771263692,1670227853,58417245.94,78053364.23,151645124.8,171861555.5,80081395.79,761193302,5691441687,2550549273,3525943490,3557974026,2280918498,3654456106,74682157.34,5216030082,6023940974,3988189921,3229576979,176254079.3,315581929.6,122122922.3,2935016843,564585014.5,161757296.1,2987756454,73841009.33
"Feature0004",12255626.44,165812705.8,16583682.61,192173424.6,19853643.22,15319844.69,47667852.98,434049.7101,5865253.369,162888899,4239352.338,12279156.14,17074810.66,8099232.513,12550287.63,375112.1896,19620999.62,7371432.678,40702210.25,25663587.28,87663432.49,6152477.663,45325067.15,45298330.01,24031617.39,3408618.649,53629116.11,30631245.21,143810387.1,9628967.256,3087823.937,21715742.8,38712501.24,83635056.5,6985841.53,7441791.23,22318633.91,20383994.14,14855320.03,19765938.61,269379.1935,747046.5781,19700865.18,3250763.252,173306912.5,159564174.9,2323396.946,4398739.553,355054.4613,181307552.7,178423519.2,12882528.27,22619258.08,12469505.8,211870755.4,16386523.8,13173794.89,210588706.1,7296419.244
"Feature0005",5183422.105,8083264.09,3192913.01,6776402.4,9126471.867,7667028.211,4703062.006,4005674.586,6020561.379,32023319.14,4073797.936,6072386.118,7709056.091,4506230.624,4303616.848,4542322.224,10649946.26,49331788.25,4956932.143,24053178.85,4010956.861,7541803.349,4684824.885,4562720.876,64300337.1,31539866.35,11867182.55,4274493.377,3134566.996,33931925.43,3229982.288,6889694.389,5055103.077,4642205.26,5776591.84,3425641.845,6011059.494,5641044.904,6740116.493,9999916.744,6055312.951,3730372.057,12715346.13,16039110.41,6818290.929,34551021.02,8633481.558,4785357.019,5510790.448,42759220.85,13655278.88,4864356.637,4870413.181,5600933.589,19016304.46,6720868.244,7368405.785,8516278.893,4911278.964
"Feature0006",56446434.62,44160310.16,27423324.75,54424885.59,49139090.74,114951258.6,110467040.3,30478826.75,14879035.24,116270272.6,39675516.47,49595046.19,105757764.8,31811663.6,35733764.35,65746390.88,87329625.16,40097533.78,61854571.65,144530656.6,64474935.93,43341654.09,43666192.62,83102403.18,25268811,4416949.213,152082084.5,72662183.26,105911596.3,33698680.95,39343533.91,89784293.94,56383271.94,73720235.55,30100129.03,42853536.52,101070066.2,115909434.4,51638573.97,180225790.8,27430165.51,71950931.59,83522768.26,55210856.86,40736304.62,192689302.4,26476000.69,50148669.74,92697810.78,178164712.1,85643323.29,58441017.55,78868328.13,54977799.3,16329899.62,81188869.46,53957275.17,66945032.94,23517962.78
"Feature0007",247587012,72929886.65,98551834.46,76912639.97,143956782.7,293066636.3,428098462.6,158753682.6,269954297.3,137245855.9,107397218.1,154075608.4,345202753.6,122665754.8,132727471.5,389927192.9,97852890.32,288947923.7,279032166.9,210870824.3,341386789.3,137257449.7,237649325.5,412580432.5,265367176.3,202149111.5,225855792.5,387151696.8,112114748.7,285974028,111879663.5,334234169,324168419.3,377312653.3,119744703,144346651.4,344466101.5,399990752.4,189619088.7,461560322.8,155449720.9,184628577.5,107125411.7,147315200.5,60125683.49,280697957.8,96418174.64,235308506.8,383578282.3,318888778.1,66762488.07,189410606.7,343718240.9,294032111,29781804.25,356829805.3,275789020.4,151206905.5,89905793.51
"Feature0008",5990123.385,22407971.27,13250126.51,21028627.17,15190280.67,24410109.88,15826835.09,9673054.878,18980040.08,36253577.71,14725127.86,21279329.19,8219903.568,7143562.801,9643460.892,13089072.59,29402153.86,10557730.51,9471403.562,29848446.99,9931215.039,16266736.8,8282998.29,13485573.5,8464184.089,1883088.508,63003853.35,14957086.05,39032998.98,7646289.493,20217012.73,10568449.68,10475212.79,12613509.31,11084174.34,21107223.53,19660245.74,19226217.22,7545344.947,23451071.93,6320613.571,16157999.95,21260951.74,13995907.64,18821025.98,37223552,8742413.571,2426619.547,16618841.57,31284489.17,30960956.72,312829.2108,9156235.459,3925937.064,9967321.8,5861473.833,7841055.447,16180969.63,11967330.83
"Feature0009",7905339.997,6719273.209,4213428.492,7752233.412,10206946.78,17155344.93,12273340.34,10446334.53,5538991.34,11756746.7,2593758.643,4569516.169,3191117.842,7865366.792,2133014.533,10619471.42,9715475.299,8201833.855,9387872.417,13719244.07,11519892.82,5183576.771,9950170.611,13069876,8102433.433,4432472.079,13879639.47,11896618.08,11253493.53,6945600.977,4422061.387,10777196.41,11177411.68,11083193.46,3876923.71,5393876.137,12649775.48,13138852.81,7486390.172,7240048.04,6849223.217,10756861.88,9156826.54,12028218.39,6815830.116,17933488.65,4638697.483,7639239.577,11139429.15,19784017.66,9363606.829,6336563.604,10954936.18,9076695.104,4691077.348,12960130.28,9116896.607,10280780.33,3312029.405
"Feature0010",9232767.157,26326841.53,16941805.25,25086744.56,21347981.65,12485516.35,16721420.05,23988745.7,10927884.01,33495061.28,10125134.38,7505414.493,2760754.702,6749082.967,10463064.37,11171758.26,25367685.16,19332635.76,13772477.93,30840962.48,13614885.04,5461954.928,7982971.182,14344177.48,17892719.58,4009147.992,40768400.04,13111384.57,29776690.28,15586363.54,19960423.6,8549647.989,12149463.33,13097718.75,3277918.343,3808974.933,5586043.546,4411008.127,2809840.902,4740723.863,4223551.518,16816878.35,35736814.19,20548542.7,18127759.88,30353352.05,11347694.89,8348008.275,10362555.13,30305139.04,17013222.13,3862035.964,5289687.756,6948967.569,10752172.73,7449730.734,8665736.354,29422851.6,4019041.353
"Feature0011",24378652.72,12936437.66,29737528.55,11205055.77,26190418.84,19578527.4,91879125.83,27107154.91,35944034.65,33588368.81,1826408.019,2236605.552,34525812.5,25601654.85,31758502.76,82417810.25,23160617.05,43633690.67,63802179.1,34874038.7,8969787.096,20258384.32,2985721.534,93576295.29,42086067.15,35248207.22,54049675.03,88157899.33,17123541.35,44740920.89,32852289.37,901308.0792,62994170.28,79405547.47,13657818.17,18039280.46,22657458.87,12635919.73,19806657.51,59270841.77,65474618.34,18081869.38,3583605.53,38420821.76,10493754.49,34105372.51,23286943.21,52885634.64,106187008.3,40953325.3,20452733.08,23975360.36,29453596.77,22413461.74,15478592.42,21841769.16,29947492.16,18978574.7,12829814.3
"Feature0012",594761.269,438358.6252,224852715.5,272246.8262,1725054.582,64320299.59,572332.5289,260709.7389,14684436.26,9712781.119,393037.1308,307362.1223,313281.0066,8329911.99,399691.752,470686.3077,546042.9958,8962292.802,2206681.275,571097.715,30401062.58,332915.5055,527482.073,439006.0127,742892.2505,241214.2762,482797.3422,283835.9737,260206.8967,2934349.316,261590.7564,513274.0412,5056713.326,6511564.956,253190.0558,1340148.203,953559.3193,281993.7198,398291.735,370792.3817,333341.6594,388803.4772,714286.3127,244368.7109,333389.5403,325368.9329,351698.6269,344800.6619,1969749.281,501179.7658,391292.9121,339464.4573,34847990.85,339211.4746,674005.054,228542.1205,221125.1248,365610.2262,453853.0177
"Feature0013",196697.4919,41939295.08,938128.6185,42938066.44,196773.0562,351019.028,27873638.17,18990485.17,10089617.25,50901307.57,709289.2095,468954.4426,303944.4974,22853958.73,351071.8507,27411365.41,57752316.19,1303450.12,21227314.17,61395327.91,22605635.74,612775.4901,21959161.75,25544397.02,12966440.39,393212.6772,61121126.41,25011420.87,40329851.85,14605841.28,560863.0451,552468.5174,24295771.1,23726286.13,157499.1053,276384.4066,336818.9051,548198.1559,442531.0099,3903291.882,23070513.06,35300928.95,46161912.5,43435931.58,36562220.93,57095198.64,255929.5449,18734601.46,30196710.11,53404748.68,51718600.34,271010.9393,339130.9567,230157.4921,46064910.52,162284.2316,351327.5204,40641032.67,306603.7508
"Feature0014",2151670.045,23119153.82,37997781.44,20650616.28,27811161.05,10462115,15487743.67,28934578.28,13338056.59,36526496.64,19083734.26,14050645.8,7105421.959,5275395.635,22887599.01,14454405.6,32434451.53,31941180.59,11343868.02,25132687.7,12385118.7,10412704.22,7580373.314,15157804.24,27448225.42,6069764.884,46467898.59,14437803.85,42712257.27,26526221.72,46793223.19,2430925.982,11967720.32,14522512.01,5248545.773,4721269.273,4617300.612,3352479.729,3528787.658,11265016.05,7936526.067,15314208.57,21580069.52,25729768.62,22160344.98,32225938.32,21507700.21,8411595.055,15026447.7,26788311.16,36470234.56,9293594.482,3419382.815,1981314.605,16434511.28,3793640.141,3394703.386,16106123.92,3267522.952
"Feature0015",4732440.72,3856703.946,25992569.68,1894970.243,13136636.35,9916131.548,2156385.889,8317492.754,9290749.197,3638273.613,25229025.95,7387156.924,17877136.93,2259349.86,24115511.54,3578099.748,4015175.937,19456674.2,1582382.473,7834545.52,1368429.538,3148749.767,1853427.703,2448674.53,17740139.37,5697221.787,7374208.056,4620547.474,1565226.333,19152524.28,54499081.88,5712878.012,1784951.338,1581340.089,4964548.908,8118056.557,5462466.698,7077029.168,3376769.114,58565398.39,1828318.645,3831548.063,3076642.839,10916834.01,876730.2808,9933945.044,9600045.692,1380515.306,2131321.811,10857956.63,3307563.828,8986706.766,7620814.456,4922755.302,2420508.889,10373275.49,3450127.135,3267361.634,1820144.661
"Feature0016",11997089.32,1299364.812,12064762.57,1209222.557,21677333.07,26325426.42,1000338.161,982214.8628,14504811.57,2216894.399,9025073.247,8647524.338,21934325.07,711085.7004,21432497.91,996891.1883,1834261.344,24561541.6,1084637.563,1322654.42,1006185.538,7022080.724,660450.0284,533137.2551,19923723.42,12828251.91,2013307.748,714795.6756,1514412.308,19304596.92,17866584.85,12038206.25,927209.7927,612580.6904,8674607.2,11112770.1,14983454.03,12804702.77,10809894.1,25677963.25,1008443.571,1308182.699,1223254.916,1012038.31,1379658.092,1983974.58,20917357.1,753162.3219,1355663.407,1896401.899,2328657.949,11055856.51,14697997.1,14831023.81,1772321.627,23476289.95,13065782.14,1652510.994,6090721.3
