LC-MS_ID,ID,Plant,Fungi,replicate,Fungi2,,,SampleID
60,6CL1,CTRL,1246,1,1246,60_CTRL_1246.1,Area: 60_CTRL_1246.1,60plus_RP_pos_MS2
59,4CL1,CTRL,1154,1,1154/1177,59_CTRL_1154.1,Area: 59_CTRL_1154.1,59plus_RP_pos_MS2
58,4EE1,ERLE,1154,1,1154/1177,58_ERLE_1154.1,Area: 58_ERLE_1154.1,58plus_RP_pos_MS2
57,6CL3,CTRL,1246,3,1246,57_CTRL_1246.3,Area: 57_CTRL_1246.3,57plus_RP_pos_MS2
56,6BU1,BOCU,1246,1,1246,56_BOCU_1246.1,Area: 56_BOCU_1246.1,56plus_RP_pos_MS2
55,CLLU2,LEDU,CTRL,2,CTRL,55_LEDU_CTRL.2,Area: 55_LEDU_CTRL.2,55plus_RP_pos_MS2
54,CLLU1,LEDU,CTRL,1,CTRL,54_LEDU_CTRL.1,Area: 54_LEDU_CTRL.1,54plus_RP_pos_MS2
53,7EN1,ERIN,1177,1,1154/1177,53_ERIN_1177.1,Area: 53_ERIN_1177.1,53plus_RP_pos_MS2
52,6BU2,BOCU,1246,2,1246,52_BOCU_1246.2,Area: 52_BOCU_1246.2,52plus_RP_pos_MS2
51,6EE2,ERLE,1246,2,1246,51_ERLE_1246.2,Area: 51_ERLE_1246.2,51plus_RP_pos_MS2
50,CLBU2,BOCU,CTRL,2,CTRL,50_BOCU_CTRL.2,Area: 50_BOCU_CTRL.2,50plus_RP_pos_MS2
49,6EN3,ERIN,1246,3,1246,49_ERIN_1246.3,Area: 49_ERIN_1246.3,49plus_RP_pos_MS2
48,CLLU3,LEDU,CTRL,3,CTRL,48_LEDU_CTRL.2,Area: 48_LEDU_CTRL.2,48plus_RP_pos_MS2
47,7CL1,CTRL,1177,1,1154/1177,47_CTRL_1177.1,Area: 47_CTRL_1177.1,47plus_RP_pos_MS2
46,4CL2,CTRL,1154,2,1154/1177,46_CTRL_1154.2,Area: 46_CTRL_1154.2,46plus_RP_pos_MS2
45,4LU1,LEDU,1154,1,1154/1177,45_LEDU_1154.1,Area: 45_LEDU_1154.1,45plus_RP_pos_MS2
44,4BU2,BOCU,1154,2,1154/1177,44_BOCU_1154.2,Area: 44_BOCU_1154.2,44plus_RP_pos_MS2
43,4EN3,ERIN,1154,3,1154/1177,43_ERIN_1154.3,Area: 43_ERIN_1154.3,43plus_RP_pos_MS2
42,4EN2,ERIN,1154,2,1154/1177,42_ERIN_1154.2,Area: 42_ERIN_1154.2,42plus_RP_pos_MS2
