"","Sample","Seed","Media","Germ","means","average"
"1","ERLE-MEA-1","ERLE","MEA",2,5.13333333333333,0.38961038961039
"2","ERLE-MEA-2","ERLE","MEA",4,5.13333333333333,0.779220779220779
"3","ERLE-MEA-3","ERLE","MEA",2,5.13333333333333,0.38961038961039
"4","ERLE-MEA-4","ERLE","MEA",6,5.13333333333333,1.16883116883117
"5","ERLE-MEA-5","ERLE","MEA",2,5.13333333333333,0.38961038961039
"6","ERLE-CA-1","ERLE","CA",3,5.13333333333333,0.584415584415584
"7","ERLE-CA-2","ERLE","CA",2,5.13333333333333,0.38961038961039
"8","ERLE-CA-3","ERLE","CA",4,5.13333333333333,0.779220779220779
"9","ERLE-CA-4","ERLE","CA",6,5.13333333333333,1.16883116883117
"10","ERLE-CA-5","ERLE","CA",5,5.13333333333333,0.974025974025974
"11","ERLE-F1154-1","ERLE","F1154",9,5.13333333333333,1.75324675324675
"12","ERLE-F1154-2","ERLE","F1154",7,5.13333333333333,1.36363636363636
"13","ERLE-F1154-3","ERLE","F1154",8,5.13333333333333,1.55844155844156
"14","ERLE-F1154-4","ERLE","F1154",9,5.13333333333333,1.75324675324675
"15","ERLE-F1154-5","ERLE","F1154",8,5.13333333333333,1.55844155844156
"16","ERIN-MEA-1","ERIN","MEA",3,5.06666666666667,0.592105263157895
"17","ERIN-MEA-2","ERIN","MEA",6,5.06666666666667,1.18421052631579
"18","ERIN-MEA-3","ERIN","MEA",6,5.06666666666667,1.18421052631579
"19","ERIN-MEA-4","ERIN","MEA",3,5.06666666666667,0.592105263157895
"20","ERIN-MEA-5","ERIN","MEA",5,5.06666666666667,0.986842105263158
"21","ERIN-CA-1","ERIN","CA",4,5.06666666666667,0.789473684210526
"22","ERIN-CA-2","ERIN","CA",7,5.06666666666667,1.38157894736842
"23","ERIN-CA-3","ERIN","CA",6,5.06666666666667,1.18421052631579
"24","ERIN-CA-4","ERIN","CA",7,5.06666666666667,1.38157894736842
"25","ERIN-CA-5","ERIN","CA",4,5.06666666666667,0.789473684210526
"26","ERIN-F1154-1","ERIN","F1154",4,5.06666666666667,0.789473684210526
"27","ERIN-F1154-2","ERIN","F1154",9,5.06666666666667,1.77631578947368
"28","ERIN-F1154-3","ERIN","F1154",5,5.06666666666667,0.986842105263158
"29","ERIN-F1154-4","ERIN","F1154",3,5.06666666666667,0.592105263157895
"30","ERIN-F1154-5","ERIN","F1154",4,5.06666666666667,0.789473684210526
"31","BOCU-MEA-1","BOCU","MEA",4,4.6,0.869565217391304
