Sample,Seed,Media,Replicate,DatePlated,SeedNum,Day4-20Sep,Day5-21Sep,Day6-22Sep,Day7-23Sep,Day8-24Sep,Day9-25Sep,Day10-26Sep,Day11-27Sep,Day12-28Sep,Day13-29Sep,Day14-30Sep,TotalSeedEmergence,Notes
ERLE-MEA-1,ERLE,MEA,1,16Sep22,10,0,0,0,2,,1,1,,,,2,,
ERLE-MEA-2,ERLE,MEA,2,16Sep22,10,0,0,0,0,,0,1,,,,4,,
ERLE-MEA-3,ERLE,MEA,3,16Sep22,10,0,0,0,1,,1,1,,,,2,,
ERLE-MEA-4,ERLE,MEA,4,16Sep22,10,0,0,0,0,,0,4,,,,6,,
ERLE-MEA-5,ERLE,MEA,5,16Sep22,10,0,0,0,1,,1,2,,,,2,,
ERLE-CA-1,ERLE,CA,1,16Sep22,10,0,0,0,0,,0,0,,,,3,,
ERLE-CA-2,ERLE,CA,2,16Sep22,10,0,0,0,1,,1,1,,,,2,,
ERLE-CA-3,ERLE,CA,3,16Sep22,10,0,0,0,0,,0,1,,,,4,,
ERLE-CA-4,ERLE,CA,4,16Sep22,10,0,0,0,0,,1,2,,,,6,,
ERLE-CA-5,ERLE,CA,5,16Sep22,10,0,0,0,1,,1,1,,,,5,,
ERLE-F1154-1,ERLE,F1154,1,16Sep22,10,0,0,0,4,,9,9,,,,9,,
ERLE-F1154-2,ERLE,F1154,2,16Sep22,10,0,0,0,3,,7,7,,,,7,,
ERLE-F1154-3,ERLE,F1154,3,16Sep22,10,0,0,0,3,,8,8,,,,8,,
ERLE-F1154-4,ERLE,F1154,4,16Sep22,10,0,0,0,5,,9,9,,,,9,,
ERLE-F1154-5,ERLE,F1154,5,16Sep22,10,0,0,0,3,,7,8,,,,8,,
ERIN-MEA-1,ERIN,MEA,1,16Sep22,10,2,3,3,3,,3,3,,,,3,,
ERIN-MEA-2,ERIN,MEA,2,16Sep22,10,5,6,6,6,,6,6,,,,6,,
ERIN-MEA-3,ERIN,MEA,3,16Sep22,10,5,4,6,6,,6,6,,,,6,,
ERIN-MEA-4,ERIN,MEA,4,16Sep22,10,2,6,3,3,,3,3,,,,3,,
ERIN-MEA-5,ERIN,MEA,5,16Sep22,10,4,4,4,5,,5,5,,,,5,,
ERIN-CA-1,ERIN,CA,1,16Sep22,10,4,4,4,4,,4,4,,,,4,,
ERIN-CA-2,ERIN,CA,2,16Sep22,10,6,6,6,7,,7,7,,,,7,,
ERIN-CA-3,ERIN,CA,3,16Sep22,10,5,5,6,6,,6,6,,,,6,,
ERIN-CA-4,ERIN,CA,4,16Sep22,10,6,6,7,7,,7,7,,,,7,,
ERIN-CA-5,ERIN,CA,5,16Sep22,10,3,3,3,4,,4,4,,,,4,,
ERIN-F1154-1,ERIN,F1154,1,16Sep22,10,2,1,1,4,,4,4,,,,4,,
ERIN-F1154-2,ERIN,F1154,2,16Sep22,10,7,9,9,9,,10,9,,,,9,,
ERIN-F1154-3,ERIN,F1154,3,16Sep22,10,5,5,5,5,,5,5,,,,5,,
ERIN-F1154-4,ERIN,F1154,4,16Sep22,10,2,2,2,4,,4,4,,,,3,,
ERIN-F1154-5,ERIN,F1154,5,16Sep22,10,4,4,4,4,,4,4,,,,4,,
BOCU-MEA-1,BOCU,MEA,1,16Sep22,10,2,2,2,4,,4,4,,,,4,,
BOCU-MEA-2,BOCU,MEA,2,16Sep22,10,4,3,4,4,,5,5,,,,4,,
BOCU-MEA-3,BOCU,MEA,3,16Sep22,10,6,7,8,7,,8,8,,,,7,,
BOCU-MEA-4,BOCU,MEA,4,16Sep22,10,3,3,4,5,,5,5,,,,5,,
BOCU-MEA-5,BOCU,MEA,5,16Sep22,10,4,3,3,3,,3,3,,,,4,,
BOCU-CA-1,BOCU,CA,1,16Sep22,10,5,6,6,6,,6,6,,,,6,,
BOCU-CA-2,BOCU,CA,2,16Sep22,10,3,5,5,5,,5,5,,,,5,,
BOCU-CA-3,BOCU,CA,3,16Sep22,10,4,5,5,7,,7,7,,,,6,,
BOCU-CA-4,BOCU,CA,4,16Sep22,10,1,4,4,4,,4,4,,,,5,,
BOCU-CA-5,BOCU,CA,5,16Sep22,10,1,2,2,4,,4,4,,,,4,,
BOCU-F1154-1,BOCU,F1154,1,16Sep22,10,5,5,5,5,,5,5,,,,5,,
BOCU-F1154-2,BOCU,F1154,2,16Sep22,10,0,1,1,2,,2,2,,,,4,,
BOCU-F1154-3,BOCU,F1154,3,16Sep22,10,5,6,7,7,,7,7,,,,5,,
BOCU-F1154-4,BOCU,F1154,4,16Sep22,10,2,4,4,4,,4,4,,,,4,,
BOCU-F1154-5,BOCU,F1154,5,16Sep22,10,0,0,0,0,,0,0,,,,1,,
DICA-MEA-1,DICA,MEA,1,16Sep22,10,0,0,0,0,,0,0,,,,0,,
DICA-MEA-2,DICA,MEA,2,16Sep22,10,0,0,0,0,,0,0,,,,0,,
DICA-MEA-3,DICA,MEA,3,16Sep22,10,0,0,0,0,,0,0,,,,0,,
DICA-MEA-4,DICA,MEA,4,16Sep22,10,0,0,0,0,,0,0,,,,0,,
DICA-MEA-5,DICA,MEA,5,16Sep22,10,0,0,0,0,,0,0,,,,0,,
DICA-CA-1,DICA,CA,1,16Sep22,10,0,0,0,0,,0,0,,,,0,,
DICA-CA-2,DICA,CA,2,16Sep22,10,0,0,0,0,,0,0,,,,0,,
DICA-CA-3,DICA,CA,3,16Sep22,10,0,0,0,0,,0,0,,,,0,,
DICA-CA-4,DICA,CA,4,16Sep22,10,0,0,0,0,,0,0,,,,0,,
DICA-CA-5,DICA,CA,5,16Sep22,10,0,0,0,0,,0,0,,,,0,,
DICA-F1154-1,DICA,F1154,1,16Sep22,10,0,0,0,0,,0,0,,,,0,,
DICA-F1154-2,DICA,F1154,2,16Sep22,10,0,0,0,0,,0,0,,,,0,,
DICA-F1154-3,DICA,F1154,3,16Sep22,10,0,0,0,0,,0,0,,,,0,,
DICA-F1154-4,DICA,F1154,4,16Sep22,10,0,0,0,0,,0,0,,,,0,,
DICA-F1154-5,DICA,F1154,5,16Sep22,10,0,0,0,0,,0,0,,,,0,,
LEDU-MEA-1,LEDU,MEA,1,16Sep22,10,7,9,9,9,,9,9,,,,10,,
LEDU-MEA-2,LEDU,MEA,2,16Sep22,10,9,10,10,10,,10,10,,,,10,,
LEDU-MEA-3,LEDU,MEA,3,16Sep22,10,6,10,10,10,,10,10,,,,10,,
LEDU-MEA-4,LEDU,MEA,4,16Sep22,10,8,9,9,9,,9,9,,,,9,,
LEDU-MEA-5,LEDU,MEA,5,16Sep22,10,6,7,7,8,,9,9,,,,9,,
LEDU-CA-1,LEDU,CA,1,16Sep22,10,9,9,9,9,,9,9,,,,10,,
LEDU-CA-2,LEDU,CA,2,16Sep22,10,6,9,9,10,,10,10,,,,10,,
LEDU-CA-3,LEDU,CA,3,16Sep22,10,7,9,9,10,,10,10,,,,10,,
LEDU-CA-4,LEDU,CA,4,16Sep22,10,7,7,7,8,,8,8,,,,8,,
LEDU-CA-5,LEDU,CA,5,16Sep22,10,3,3,5,6,,6,6,,,,8,,
LEDU-F1154-1,LEDU,F1154,1,16Sep22,10,0,0,0,0,,0,0,,,,0,,
LEDU-F1154-2,LEDU,F1154,2,16Sep22,10,1,1,3,5,,5,5,,,,4,,
LEDU-F1154-3,LEDU,F1154,3,16Sep22,10,2,4,4,4,,4,4,,,,4,,
LEDU-F1154-4,LEDU,F1154,4,16Sep22,10,5,7,7,7,,7,7,,,,7,,
LEDU-F1154-5,LEDU,F1154,5,16Sep22,10,0,1,1,2,,2,2,,,,2,,
CTRL-MEA-1,CTRL,MEA,1,16Sep22,10,,,,,,,,,,,,,
CTRL-MEA-2,CTRL,MEA,2,16Sep22,10,,,,,,,,,,,,,
CTRL-MEA-3,CTRL,MEA,3,16Sep22,10,,,,,,,,,,,,,
CTRL-MEA-4,CTRL,MEA,4,16Sep22,10,,,,,,,,,,,,,
CTRL-MEA-5,CTRL,MEA,5,16Sep22,10,,,,,,,,,,,,,
CTRL-CA-1,CTRL,CA,1,16Sep22,10,,,,,,,,,,,,,
CTRL-CA-2,CTRL,CA,2,16Sep22,10,,,,,,,,,,,,,
CTRL-CA-3,CTRL,CA,3,16Sep22,10,,,,,,,,,,,,,
CTRL-CA-4,CTRL,CA,4,16Sep22,10,,,,,,,,,,,,,
CTRL-CA-5,CTRL,CA,5,16Sep22,10,,,,,,,,,,,,,
CTRL-F1154-1,CTRL,F1154,1,16Sep22,10,,,,,,,,,,,,,
CTRL-F1154-2,CTRL,F1154,2,16Sep22,10,,,,,,,,,,,,,
CTRL-F1154-3,CTRL,F1154,3,16Sep22,10,,,,,,,,,,,,,
CTRL-F1154-4,CTRL,F1154,4,16Sep22,10,,,,,,,,,,,,,
CTRL-F1154-5,CTRL,F1154,5,16Sep22,10,,,,,,,,,,,,,
