plant_sp,fungal_id,replicate,plant_type,initial,day_0,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,final,final_div_initial,contam,notes
BOCU,CNTRL,1,native,10,0,0,0,0,2,2,2,3,,,,,,3,0.3,Y,
BOCU,CNTRL,2,native,10,0,0,0,0,0,0,0,0,,,,,,0,0,Y,
BOCU,CNTRL,3,native,10,0,0,0,0,0,0,0,0,,,,,,0,0,Y,
BOCU,1246,1,native,10,0,0,0,0,0,0,0,0,,,,,,0,0,,overgrown
BOCU,1246,2,native,10,0,0,0,0,0,1,1,1,,,,,,1,0.1,,overgrown
BOCU,1246,3,native,10,0,0,0,0,2,3,4,5,,,,,,5,0.5,,overgrown
BOCU,1213,1,native,10,0,0,0,0,0,0,0,0,,,,,,0,0,,
BOCU,1213,2,native,10,0,0,0,0,0,0,0,0,,,,,,0,0,,
BOCU,1213,3,native,10,0,0,0,0,0,0,0,0,,,,,,0,0,,
BOCU,1177,1,native,10,0,0,0,0,0,0,0,0,,,,,,0,0,,
BOCU,1177,2,native,10,0,0,0,0,0,0,0,0,,,,,,0,0,,
BOCU,1177,3,native,10,0,0,0,0,0,0,0,0,,,,,,0,0,,
BOCU,1154,1,native,10,0,0,0,0,0,0,1,1,,,,,,1,0.1,,
BOCU,1154,2,native,10,0,0,0,0,0,0,1,1,,,,,,1,0.1,,
BOCU,1154,3,native,10,0,0,0,0,0,0,0,0,,,,,,0,0,,
LEDU,CNTRL,1,native,10,0,0,0,9,9,9,9,10,,,,,,10,1,Y,
LEDU,CNTRL,2,native,10,0,0,0,7,8,8,9,9,,,,,,9,0.9,Y,
LEDU,CNTRL,3,native,10,0,0,0,7,8,8,8,8,,,,,,8,0.8,Y,
LEDU,1246,1,native,10,0,0,0,5,6,8,10,10,,,,,,10,1,,
LEDU,1246,2,native,10,0,0,0,7,10,10,10,10,,,,,,10,1,,
LEDU,1246,3,native,10,0,0,0,5,8,9,9,10,,,,,,10,1,,
LEDU,1213,1,native,10,0,0,0,0,0,0,0,0,,,,,,0,0,,
LEDU,1213,2,native,10,0,0,0,0,0,0,0,0,,,,,,0,0,,
LEDU,1213,3,native,10,0,0,0,0,0,0,0,0,,,,,,0,0,,
LEDU,1177,1,native,10,0,0,0,0,0,0,0,0,,,,,,0,0,,
LEDU,1177,2,native,10,0,0,0,0,0,0,0,0,,,,,,0,0,,
LEDU,1177,3,native,10,0,0,0,0,0,0,0,0,,,,,,0,0,,
LEDU,1154,1,native,10,0,0,0,0,6,6,6,6,,,,,,6,0.6,,
LEDU,1154,2,native,10,0,0,0,0,0,0,0,0,,,,,,0,0,,
LEDU,1154,3,native,10,0,0,0,0,4,7,9,9,,,,,,9,0.9,,
ERIN,CNTRL,1,native,19,0,0,0,1,1,3,3,3,3,4,4,4,4,4,0.210526316,,
ERIN,CNTRL,2,native,36,0,0,0,0,0,5,5,7,7,7,7,8,8,8,0.222222222,,
ERIN,CNTRL,3,native,18,0,0,0,0,2,2,2,2,2,2,3,3,3,3,0.166666667,,
ERIN,1246,1,native,11,0,0,0,1,2,3,3,3,3,3,3,3,3,3,0.272727273,,
ERIN,1246,2,native,12,0,0,0,0,3,3,3,5,5,6,6,6,6,6,0.5,,
ERIN,1246,3,native,14,0,0,0,2,2,4,4,5,5,5,5,5,6,6,0.428571429,,
ERIN,1213,1,native,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ERIN,1213,2,native,14,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.071428571,,
ERIN,1213,3,native,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ERIN,1177,1,native,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ERIN,1177,2,native,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ERIN,1177,3,native,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ERIN,1154,1,native,29,0,0,0,2,8,8,9,10,10,10,11,11,11,11,0.379310345,,
ERIN,1154,2,native,21,0,0,0,0,3,3,3,3,3,3,3,3,3,3,0.142857143,,
ERIN,1154,3,native,21,0,0,0,0,1,2,2,2,2,2,2,2,2,2,0.095238095,,
