Isolate,Grass,Replicate,Sept. 17,Sept. 24,Oct. 1,Oct. 8,Oct. 15,Oct. 22,Oct. 29,Total Mass Loss (g),% Mass Loss,Average %Loss (Controls),%Loss Scaled by Controls,%loss,plant_type
1177,BOCU,1,16.46,16.36,16.17,16.08,15.95,15.84,15.71,0.75,0.045565006,,1.081478099,4.556500608,Native
1177,BOCU,2,16.3,16.2,16.05,15.96,15.82,15.7,15.59,0.71,0.043558282,,1.03384883,4.355828221,Native
1177,BOCU,3,16.4,16.3,16.14,16.07,15.93,15.81,15.69,0.71,0.043292683,,1.027544874,4.329268293,Native
1154,BOCU,1,16.32,16.21,16.06,15.99,15.84,15.72,15.6,0.72,0.044117647,,1.047125265,4.411764706,Native
1154,BOCU,2,16.36,16.26,16.11,16.03,15.87,15.74,15.64,0.72,0.04400978,,1.044565057,4.400977995,Native
1154,BOCU,3,16.3,16.21,16.04,15.96,15.83,15.7,15.58,0.72,0.044171779,,1.048410081,4.417177914,Native
1213,BOCU,1,15.95,15.82,15.72,15.58,15.46,15.35,15.21,0.74,0.046394984,,1.101177499,4.639498433,Native
1213,BOCU,2,16.31,16.04,15.77,15.45,15.07,14.72,14.36,1.95,0.119558553,,2.837703048,11.9558553,Native
1213,BOCU,3,15.86,15.77,15.67,15.53,15.39,15.27,15.14,0.72,0.045397226,,1.077495859,4.539722573,Native
1246,BOCU,1,16.29,16.19,16.06,15.95,15.81,15.7,15.59,0.7,0.042971148,,1.019913293,4.297114794,Native
1246,BOCU,2,16.47,16.38,16.25,16.13,16,15.88,15.78,0.69,0.041894353,,0.994355747,4.189435337,Native
1246,BOCU,3,16.42,16.35,16.21,16.13,16.01,15.91,15.82,0.6,0.036540804,,0.86729011,3.65408039,Native
1177,DICA,1,15.83,15.74,15.54,15.47,15.34,15.21,15.09,0.74,0.046746684,,1.019089795,4.674668351,Native
1177,DICA,2,16.35,16.25,16.06,16,15.86,15.73,15.62,0.73,0.044648318,,0.973344885,4.464831804,Native
1177,DICA,3,15.92,15.81,15.62,15.55,15.38,15.26,15.11,0.81,0.050879397,,1.109184018,5.087939698,Native
1154,DICA,1,16.22,16.14,15.98,15.88,15.76,15.65,15.53,0.69,0.042540074,,0.927384619,4.254007398,Native
1154,DICA,2,15.87,15.78,15.62,15.52,15.4,15.3,15.16,0.71,0.0447385,,0.975310882,4.473850032,Native
1154,DICA,3,16.25,16.16,16.01,15.91,15.77,15.65,15.52,0.73,0.044923077,,0.9793347,4.492307692,Native
1213,DICA,1,16.21,16.12,15.99,15.88,15.76,15.65,15.51,0.7,0.04318322,,0.941405374,4.318322023,Native
1213,DICA,2,15.85,15.75,15.65,15.51,15.37,15.27,15.13,0.72,0.045425868,,0.990295665,4.542586751,Native
1213,DICA,3,16.23,16.14,16.02,15.9,15.78,15.67,15.54,0.69,0.042513863,,0.926813218,4.251386322,Native
1246,DICA,1,16.38,16.31,16.19,16.08,15.97,15.86,15.78,0.6,0.036630037,,0.798544276,3.663003663,Native
1246,DICA,2,15.96,15.87,15.74,15.66,15.52,15.41,15.32,0.64,0.040100251,,0.874195839,4.010025063,Native
1246,DICA,3,16.47,16.39,16.25,16.15,16,15.87,15.78,0.69,0.041894353,,0.913307743,4.189435337,Native
1177,ERLE,1,16.46,16.31,16.09,15.94,15.67,15.4,15.08,1.38,0.083839611,,2.111715076,8.383961118,Non-native
1177,ERLE,2,16.28,16.01,15.69,15.41,15.02,14.69,14.32,1.96,0.12039312,,3.032408712,12.03931204,Non-native
1177,ERLE,3,15.96,15.87,15.71,15.61,15.47,15.36,15.22,0.74,0.046365915,,1.167844172,4.636591479,Non-native
1154,ERLE,1,16.43,16.32,16.14,16.05,15.93,15.79,15.65,0.78,0.047474133,,1.195757474,4.747413268,Non-native
1154,ERLE,2,16.19,16.1,15.93,15.85,15.71,15.59,15.46,0.73,0.045089561,,1.135695948,4.508956146,Non-native
1154,ERLE,3,16.35,16.25,16.09,16,15.86,15.73,15.59,0.76,0.04648318,,1.170797807,4.648318043,Non-native
1213,ERLE,1,16.33,16.24,16.09,15.99,15.86,15.74,15.62,0.71,0.043478261,,1.095111221,4.347826087,Non-native
1213,ERLE,2,16.41,16.31,16.17,16.07,15.91,15.79,15.66,0.75,0.045703839,,1.151168102,4.570383912,Non-native
1213,ERLE,3,16.18,16.09,15.96,15.83,15.66,15.55,15.41,0.77,0.047589617,,1.198666237,4.758961681,Non-native
1246,ERLE,1,16.23,16.15,16.01,15.9,15.76,15.62,15.46,0.77,0.047443007,,1.194973489,4.744300678,Non-native
1246,ERLE,2,15.86,15.77,15.62,15.52,15.36,15.22,15.08,0.78,0.049180328,,1.238732364,4.918032787,Non-native
1246,ERLE,3,16.23,16.14,16.02,15.89,15.75,15.62,15.49,0.74,0.045594578,,1.14841608,4.559457794,Non-native
1177,SELE,1,16.34,16.25,16.1,15.93,15.7,15.52,15.31,1.03,0.063035496,,1.577156573,6.303549572,Native
1177,SELE,2,16.34,16.26,16.09,16.03,15.88,15.8,15.66,0.68,0.041615667,,1.041229582,4.161566707,Native
1177,SELE,3,16.35,16.26,16.1,16.02,15.91,15.81,15.69,0.66,0.040366972,,1.009987075,4.036697248,Native
1154,SELE,1,16.37,16.26,16.1,16.02,16.87,15.76,15.65,0.72,0.043982896,,1.100457956,4.398289554,Native
1154,SELE,2,16.28,16.18,16.03,15.92,15.79,15.68,15.56,0.72,0.044226044,,1.106541569,4.422604423,Native
1154,SELE,3,16.39,16.3,16.13,16.07,15.93,15.81,15.71,0.68,0.041488713,,1.038053165,4.148871263,Native
1213,SELE,1,16.37,16.28,16.16,16.07,15.91,15.8,15.68,0.69,0.042150275,,1.054605541,4.215027489,Native
1213,SELE,2,16.37,16.3,16.16,16.09,15.94,15.82,15.72,0.65,0.039706781,,0.993468988,3.97067807,Native
1213,SELE,3,16.46,16.38,16.23,16.12,15.98,15.87,15.74,0.72,0.043742406,,1.094440871,4.374240583,Native
1246,SELE,1,16.4,16.31,16.16,16.07,15.93,15.8,15.66,0.74,0.045121951,,1.128957282,4.512195122,Native
1246,SELE,2,16.42,16.31,16.16,16.05,15.88,15.74,15.61,0.81,0.049330085,,1.234245362,4.933008526,Native
1246,SELE,3,16.41,16.31,16.17,16.06,15.92,15.81,15.69,0.72,0.043875686,,1.097775548,4.387568556,Native
